"","Drug","drug_drugbank_standard","drug_pubchem","Enrichment.biomarker","biomarker_ensembl_standard","Marker.type","Biomarker.relationship","Biomarker.logical.conditions","biomarker_term","Disease","diseases_EFO_MONDO_standard","Targets","curator","raw_table","source","source_id","ID"
"1","Abacavir","DB01048","29969962","HLA-B","ENSG00000234745","polymorphism",NA,NA,"HLA-B POLYMORPHISM NA","Infectious disease/ADIS","EFO_0005741","NRTI","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",1
"2","Abemaciclib","DB12001","46220502","ESR, ERBB2","ENSG00000091831, ENSG00000141736","protein expression, protein expression & amplification","positive, negative","AND","ESR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Oncology/(HER2)-negative advanced or metastatic breast cancer","MONDO_0007254","CDK4; CDK6","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",2
"3","Ado-Trastuzumab 
Emtansine",NA,NA,"ERBB2","ENSG00000141736","protein expression & amplification",NA,NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NA","Oncology/Her2-positive breast cancer","MONDO_0000618","HER2","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",3
"4","Afatinib","DB08916","10184653","EGFR","ENSG00000146648","mutation",NA,NA,"EGFR MUTATION NA","Oncology/lung cancer","MONDO_0008903","EGFR (L858R); EGFR (L858R/T790M); EGFR (wt); HER2; ErbB4","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",4
"5","Alectinib","DB11363","49806720","ALK","ENSG00000171094","protein expression",NA,NA,"ALK PROTEIN EXPRESSION NA","Oncology/Non-small cell lung cancer that has spread to other parts of the body","EFO_0003060","ALK; ALK (F1174L); ALK (R1275Q); INSR; VEGFR2 (KDR)","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",5
"6","Alpelisib (1)",NA,NA,"ESR, ERBB2, PIK3CA","ENSG00000091831, ENSG00000141736, ENSG00000121879","protein expression, protein expression & amplification,  mutation","positive, negative,positive","AND,AND","ESR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE AND PIK3CA MUTATION POSITIVE","Oncology/Advanced or metastatic breast cancer","MONDO_0007254","PI3Kα; p110α; p110γ","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",6
"7","Amifampridine","DB11640","9920716","NAT2","ENSG00000156006","polymorphism",NA,NA,"NAT2 POLYMORPHISM NA","Neurology/Lambert-eaton myasthenia syndrome in adults","Orphanet_183616","potassium channel","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",7
"8","Amifampridine Phosphate",NA,"9920716","NAT2","ENSG00000156006","polymorphism",NA,NA,"NAT2 POLYMORPHISM NA","Neurology/Lambert-eaton syndrome","Orphanet_183616","potassium channel","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",8
"9","Amitriptyline","DB00321","11065","CYP2D6","ENSG00000100197","polymorphism",NA,NA,"CYP2D6 POLYMORPHISM NA","Psychiatry/depression","EFO_0003761","5-HT; 5-HT2; 5-HT4; Norepinephrine receptor; σ1","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",9
"10","Amoxapine","DB00543","2170","CYP2D6","ENSG00000100197","polymorphism",NA,NA,"CYP2D6 POLYMORPHISM NA","Psychiatry/depression","EFO_0003761","GlyT1b; GlyT2a","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",10
"11","Amphetamine","DB00182","5826","CYP2D7","ENSG00000205702","polymorphism",NA,NA,"CYP2D7 POLYMORPHISM NA","Psychiatry/Attention deficit hyperactivity disorder,obesity","EFO_0003888",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",11
"12","Anastrozole","DB01217","2187","ESR, PGR","ENSG00000091831, ENSG00000082175","protein expression",NA,NA,"failed","Oncology/Breast cancer in postmenopausal women","MONDO_0007254","Aromatase","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",12
"13","Arformoterol (1)",NA,"40430269","UGT1A1, CYP2D6","ENSG00000241635, ENSG00000100197","polymorphism, polymorphism","positive, positive","AND/OR","UGT1A1 POLYMORPHISM POSITIVE AND/OR CYP2D6 POLYMORPHISM POSITIVE","Pulmonary/Chronic obstructive pulmonary disease","EFO_0000341","β2-adrenergic receptor","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",13
"14","Aripiprazole 
Lauroxil",NA,"49831411","CYP2D6","ENSG00000100197","polymorphism",NA,NA,"CYP2D6 POLYMORPHISM NA","Psychiatry/Schizophrenia and bipolar disorder,Major depression,Tourette's disease or autism","EFO_0000289","5-HT2A","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",14
"15","Arsenic Trioxide","DB01169",NA,"PML-RARA","ENSG00000133246","translocation",NA,NA,"PML-RARA TRANSLOCATION NA","Oncology/blood and bone marrow cancers","MONDO_0021138","HK2(Hexokinase 2)","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",15
"16","Articaine and 
Epinephrine",NA,NA,"G6PD","ENSG00000160211","protein expression",NA,NA,"G6PD PROTEIN EXPRESSION NA","Anesthesiology,before dental care to numb the area","OTAR_0000018",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",16
"17","Atezolizumab (1)",NA,NA,"CD274","ENSG00000120217","protein expression",NA,NA,"CD274 PROTEIN EXPRESSION NA","Oncology/Breast bladder and urinary tract cancers, non-small cell lung cancer.","MONDO_0007254","hPD-L1","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",17
"18","Atezolizumab (2)",NA,NA,"CD274，Gene Signature
(T-effector)","ENSG00000120217, NA","protein expression,","positive, positive","AND","failed","Oncology/Metastatic Chemotherapy-Naive Non-Squamous NSCLC","EFO_0006859","hPD-L1","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",18
"19","Atezolizumab (3)",NA,NA,"CD274，EGFR，ALK","ENSG00000120217, ENSG00000146648, ENSG00000171094","protein expression, mutation, mutation","positive, negative, negative","AND, AND","CD274 PROTEIN EXPRESSION POSITIVE AND EGFR MUTATION NEGATIVE AND ALK MUTATION NEGATIVE","Oncology/ non-small cell lung cancer.","EFO_0003060",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",19
"20","Atomoxetine","DB00289","54841","CYP2D6","ENSG00000100197","polymorphism",NA,NA,"CYP2D6 POLYMORPHISM NA","Psychiatry/Hyperactive attention deficit","EFO_0003888","5-HT; DA transporter; Norepinephrine (NE) transporter","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",20
"21","Ascorbic Acid, 
PEG-3350, 
Potassium 
Chloride, Sodium 
Ascorbate, 
Sodium Chloride, 
and Sodium 
Sulfate","DB00126,NA,NA,NA,DB09153,NA","54670067, 174, 4873, 23667548, 5234, NA","G6PD","ENSG00000160211","polymorphism",NA,NA,"G6PD POLYMORPHISM NA","gastrointestinal","EFO_0010282",NA,"Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",21
"22","Avatrombopag","DB11995","9852519","F2, F5, PROC, PROS1, SERPINC1, CYP2C9","ENSG00000180210, ENSG00000198734, ENSG00000115718, ENSG00000184500, ENSG00000117601, ENSG00000138109","polymorphism, polymorphism, polymorphism, polymorphism, polymorphism, polymorphism","negative,negative,negative, negative,negative,negative",NA,"failed","Hematology/Thrombotic/Thromboembolic Complications","Orphanet_183589","TPOreceptor","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",22
"23","Avelumab","DB11945",NA,"CD274 
(PD-L1)",NA,"protein expression",NA,NA,"CD274 
(PD-L1) PROTEIN EXPRESSION NA","Oncology/Merckle cell carcinoma","EFO_0000681","PD-L1","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",23
"24","Azathioprine (1)",NA,NA,"TPMT, NUDT15","ENSG00000137364, ENSG00000136159","polymorphism, polymorphism","negative, negative","AND/OR","TPMT POLYMORPHISM NEGATIVE AND/OR NUDT15 POLYMORPHISM NEGATIVE","Azathioprine/Autoimmune diseases","EFO_0005140","HGPRT; Rac1;","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",24
"25","Belinostat","DB05015","6918638","UGT1A1","ENSG00000241635","polymorphism",NA,NA,"UGT1A1 POLYMORPHISM NA","Oncology/T cell lymphoma","EFO_0000574","HDAC","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",25
"26","Binimetinib (1)",NA,NA,"BRAF","ENSG00000157764","mutation",NA,NA,"BRAF MUTATION NA","Oncology/melanoma","EFO_0000756","MEK1&2","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",26
"27","Blinatumomab","DB09052",NA,"BCR-ABL1
(Philadelphia 
chromosome)",NA,"translocation",NA,NA,"BCR-ABL1
(PHILADELPHIA 
CHROMOSOME) TRANSLOCATION NA","Oncology/Philadelphia Chromosome-negative Relapsed or Refractory B-cell Precursor ALL; MRD-positive B-cell Precursor ALL,leukemia","EFO_0000565","CD19 / CD3","Ben","FDA-drug&biomarkers-v8.xlsx","FDA","NA",27
