"","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.phase..comparator.","Clinical.stage.and.treatment.setting","Primary.end.point","ClinicalTrials.gov.reference","STATUS","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term"
"1","Metastatic breast cancer","BRCA1, BRCA2","positive,positive","OR","gene mutation","Talazoparib","PARP","II","Advanced, first line","OS","NCT03990896","VALID","DB11760","135565082","ENSG00000012048, ENSG00000139618","EFO_1000984","failed"
"2","Metastatic HER2 negative breast cancer","BRCA1, BRCA2，ESR1, PR, ERBB2","positive,positive, negative, negative, negative","OR，AND,AND","mutation, mutation,protein expression, protein expression & amplification, protein expression","Olaparib, Sapacitabine",NA,"I,II","Advanced, first line & second line","Maximum Tolerated Dose,Recommended Phase II dose, Objective Response Rate.","NCT03641755","VALID","DB09074,DB06365","23725625, 153970","ENSG00000012048, ENSG00000139618, ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed"
"3","stage IV (metastatic) breast cancer","ESR1, PR, ERBB2","negative, negative,negative","AND,AND","protein expression, protein expression, protein expression & amplification","Sacituzumab Govitecan, Talazoparib",NA,"I,II","Advanced,","Dose Limiting Toxicity","NCT04039230","VALID","DB12893,DB11760","91668186, 135565082","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE"
"4","Breast cancer with progressive brain metastases","ERBB2","positive",NA,"protein expression & amplification","Trastuzumab,GDC-0084","HER2, PI3-kinase","II","Advanced, first line & second line","Overall Response Rate in the CNS","NCT03765983","VALID","DB00072,DB15186","3001322, 57384863","ENSG00000141736","MONDO_0007254","failed"
"5","Metastatic Breast Cancer","ERBB2,ESR1","positive,positive","AND","protein expression & amplification, protein expression","Neratinib,Fulvestrant","HER2","II","Advanced, second line","PFS","NCT03289039","VALID","DB11828,DB00947","9915743, 104741","ENSG00000141736, ENSG00000091831","EFO_1000984","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE"
"6","Metastatic Triple-negative Breast Cancer","ESR1, PR, ERBB2","negative, negative,negative","AND,AND","protein expression, protein expression, protein expression & amplification","Nivolumab,Cabozantinib",NA,"II","Advanced,first line & second line","Overall Response Rate","NCT03316586","VALID","DB09035,DB08875","NA, 25102846","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE"
"7","Advanced HER2+ Breast Cancer","ERBB2, PD1","positive,positive","AND","protein, protein","Vinorelbine,Trastuzumab,Avelumab, Utomilumab","PD1 ,HER2","II","Advanced,first line & second line","PFS","NCT03414658","VALID","DB00361,DB00072,DB11945,DB15113","5311497, 3001322, NA, NA","ENSG00000141736, ENSG00000145335","MONDO_0007254","ERBB2 PROTEIN POSITIVE AND PD1 PROTEIN POSITIVE"
"8","ER+/Her2- Advanced Breast Cancer","ESR1,ERBB2","positive,negative","AND","protein expression & amplification, protein expression","Fulvestrant ,Enzalutamide",NA,"II","Advanced, first line & second line","clinical benefit rate","NCT02953860","VALID","DB00947,DB08899","104741, 15951529","ENSG00000091831, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE"
"9","Metastatic Hormone Receptor Positive Breast Cancer","ER, PR, HER2, PD1","positive,positive,negative,positive","AND,AND,AND","protein expression, protein expression, protein expression & amplification","Eribulin Mesylate
, Pembrolizumab","cell proliferation, PD1","II","Advanced,first line & second line","PFS","NCT03051659","VALID","NA,DB09037","17755248, NA","ENSG00000091831, ENSG00000134551, ENSG00000141736, ENSG00000145335","MONDO_0007254","failed"
"10","HER2 (human epidermal growth factor 2) -negative breast adenocarcinoma","HER2","negative",NA,"protein","Carboplatin
, Paclitaxel",NA,"II","Advanced,","molecular (DNA, RNA, protein and metabolic) changes in the tumors with reference to the obtained therapeutic response in the different treatment arms.","NCT02546232","VALID","DB00958,DB01229","56840877, 36314","ENSG00000141736","EFO_0000305","failed"
