"","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.phase..comparator.","Clinical.stage.and.treatment.setting","Primary.end.point","ClinicalTrials.gov.reference","STATUS","note","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"1","METASTATIC BREAST CANCER","BRCA1, BRCA2","positive,positive","OR","gene mutation, gene mutation","TALAZOPARIB","PARP","II","Advanced, first line","OS","NCT03990896","VALID","add gene mutaiton","DB11760","135565082","ENSG00000012048, ENSG00000139618","EFO_1000984","BRCA1 GENE MUTATION POSITIVE OR BRCA2 GENE MUTATION POSITIVE","pass"
"2","METASTATIC HER2 NEGATIVE BREAST CANCER","BRCA1, BRCA2, ESR1, PR, ERBB2","positive,positive, negative, negative, negative","OR，AND,AND, AND","mutation, mutation,protein expression, protein expression & amplification, protein expression","OLAPARIB, SAPACITABINE",NA,"I,II","Advanced, first line & second line","Maximum Tolerated Dose,Recommended Phase II dose, Objective Response Rate.","NCT03641755","VALID","add AND","DB09074,DB06365","23725625, 153970","ENSG00000012048, ENSG00000139618, ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","BRCA1 MUTATION POSITIVE OR BRCA2 MUTATION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"3","STAGE IV (METASTATIC) BREAST CANCER","ESR1, PR, ERBB2","negative, negative,negative","AND,AND","protein expression, protein expression, protein expression & amplification","SACITUZUMAB GOVITECAN, TALAZOPARIB",NA,"I,II","Advanced,","Dose Limiting Toxicity","NCT04039230","VALID",NA,"DB12893,DB11760","91668186, 135565082","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","pass"
"4","BREAST CANCER WITH PROGRESSIVE BRAIN METASTASES","ERBB2","positive",NA,"protein expression & amplification","TRASTUZUMAB, GDC-0084","HER2, PI3-kinase","II","Advanced, first line & second line","Overall Response Rate in the CNS","NCT03765983","VALID",NA,"DB00072,DB15186","3001322, 57384863","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"5","METASTATIC BREAST CANCER","ERBB2,ESR1","positive,positive","AND","protein expression & amplification, protein expression","NERATINIB, FULVESTRANT","HER2","II","Advanced, second line","PFS","NCT03289039","VALID",NA,"DB11828,DB00947","9915743, 104741","ENSG00000141736, ENSG00000091831","EFO_1000984","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"6","METASTATIC TRIPLE-NEGATIVE BREAST CANCER","ESR1, PR, ERBB2","negative, negative,negative","AND,AND","protein expression, protein expression, protein expression & amplification","NIVOLUMAB, CABOZANTINIB",NA,"II","Advanced,first line & second line","Overall Response Rate","NCT03316586","VALID",NA,"DB09035,DB08875","NA, 25102846","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","pass"
"7","ADVANCED HER2+ BREAST CANCER","ERBB2, PD1","positive,positive","AND","protein, protein","VINORELBINE, TRASTUZUMAB, AVELUMAB, UTOMILUMAB","PD1 ,HER2","II","Advanced,first line & second line","PFS","NCT03414658","VALID",NA,"DB00361,DB00072,DB11945,DB15113","5311497, 3001322, NA, NA","ENSG00000141736, ENSG00000145335","MONDO_0007254","ERBB2 PROTEIN POSITIVE AND PD1 PROTEIN POSITIVE","pass"
"8","HER2- ADVANCED BREAST CANCER","ESR1,ERBB2","positive,negative","AND","protein expression & amplification, protein expression","FULVESTRANT, ENZALUTAMIDE",NA,"II","Advanced, first line & second line","clinical benefit rate","NCT02953860","VALID",NA,"DB00947,DB08899","104741, 15951529","ENSG00000091831, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"9","METASTATIC HORMONE RECEPTOR POSITIVE BREAST CANCER","ER, PR, HER2, PD1","positive,positive,negative,positive","AND,AND,AND","protein expression, protein expression, protein expression & amplification, missing","ERIBULIN MESYLATE, PEMBROLIZUMAB","cell proliferation, PD1","II","Advanced,first line & second line","PFS","NCT03051659","VALID","add mising","NA,DB09037","17755248, NA","ENSG00000091831, ENSG00000134551, ENSG00000141736, ENSG00000145335","MONDO_0007254","ER PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND HER2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE AND PD1 MISSING POSITIVE","pass"
"10","HER2 (HUMAN EPIDERMAL GROWTH FACTOR 2) -NEGATIVE BREAST ADENOCARCINOMA","HER2","negative",NA,"protein","CARBOPLATIN, PACLITAXEL",NA,"II","Advanced,","molecular (DNA, RNA, protein and metabolic) changes in the tumors with reference to the obtained therapeutic response in the different treatment arms.","NCT02546232","VALID",NA,"DB00958,DB01229","56840877, 36314","ENSG00000141736","EFO_0000305","HER2 PROTEIN NEGATIVE","pass"
"11","METASTATIC TRIPLE NEGATIVE BREAST CANCER","BRCA1,BRCA2  ESR1, PR, ERBB2","positive,positive,negative,negative,negative","OR,AND,AND,AND","mutation, mutaion, protein expression, protein expression, protein expression","CARBOPLATIN, NIVOLUMAB",",PD1","II","Advanced,","PFS","NCT03414684",NA,NA,"DB00958,DB09035","56840877, NA","ENSG00000012048, NA, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed","failed term"
"12","STAGE IV INVASIVE BREAST CANCER","ESR1, PR, ERBB2","positive/nagative, positive/nagative, negative",NA,"protein, protein,protein","ENTINOSTAT, CAPECITABINE",NA,"I","Advanced, second","maximum tolerated dose combination (MTDC) of entinostat and capecitabine, AEs","NCT03473639",NA,NA,"DB11841,DB01101","4261, 60953","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed","failed term"
"13","HER2+ METASTATIC BREAST CANCER","ESR1,PR,ERBB2","positive,positive,positive","AND,AND","protein expression, protein expression, protein expression & amplification","PYROTINIB, FULVESTRANT",NA,"II","Advanced,","PFS","NCT04033172","VALID",NA,"DB14993,DB00947","51039030, 104741","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"14","STAGE I-III BREAST CANCER","ERBB2","positive",NA,"protein & DNA","T-DM1",NA,"II","Advanced and non-advanced, first, second","PFS","NCT03587740","VALID",NA,"DB05773","NA","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN & DNA POSITIVE","pass"
"15","METASTATIC HYPERMUTATED HER2-NEGATIVE BREAST CANCER","PD1 , CTLA-4,ERBB2","positive,positive,negative","AND,AND,AND","protein & DNA","NIVOLUMAB, IPILIMUMAB","PD1 , CTLA-4","II","Advanced,second","Response Rate","NCT03789110","VALID",NA,"DB09035,DB06186","NA, NA","ENSG00000145335, ENSG00000163599, ENSG00000141736","MONDO_0007254","failed","failed term"
"16","PRIMARY INVASIVE BREAST CANCER","ER,PR,ERBB2","negative,negative,","AND,AND","protein, protein,protein& DNA","NAB-PACLITAXEL",NA,"II","Advanced,","Pathological complete remission(pCR), PFS","NCT03959397",NA,NA,"NA","36314","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed","failed term"
"17","ADVANCED HORMONE RECEPTOR POSITIVE BREAST CANCER","PD1, ESR1,PR,ERBB2","PD1+,ER+, HER2-",NA,"protein & mutation,","PEMBROLIZUMAB, TAMOXIFEN","PD1,ER","II","Advanced, first line & second line","PFS, Overall Response Rate (ORR)","NCT03879174",NA,NA,"DB09037,DB00675","NA, 2733526","ENSG00000145335, ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed","failed term"
"18","METASTATIC TRIPLE-NEGATIVE BREAST CANCER","ESR1,PR,ERBB2","negative, negative,negative","AND,AND","protein expression, protein expression, protein expression & amplification","GEDATOLISIB, PTK7-ADC",NA,"I","Advanced, second","Safety","NCT03243331","VALID",NA,"DB11896,NA","44516953, NA","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","pass"
"19","ADVANCED OR METASTATIC HER2-NEGATIVE BREAST CANCER","ERBB2","negative",NA,"protein","RUXOLITINIB, CAPECITABINE",NA,"II","Advanced","OS,","NCT02120417","VALID",NA,"DB08877,DB01101","25126798, 60953","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN NEGATIVE","pass"
"20","PRETREATED METASTATIC BREAST CANCER","ESR1,PR,ERBB2","positive,positive,negative","AND,AND","protein expression, protein expression, protein expression & amplification","VINORELBINE, LETROZOLE, ANASTROZOLE",NA,"II","Advanced, second","PFS","NCT02585388","VALID",NA,"DB00361,DB01006,DB01217","5311497, 3902, 2187","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","pass"
"21","HIGH-RISK HER2+ BREAST CANCER","HER2,HLA2, HLAA3, HLAA24, HLAA26,","positive,positive,positive,positive,positive","AND, OR,OR,OR","polymorphism, polymorphism, polymorphism, polymorphism, protein expression & amplification","TRASTUZUMAB, LEUKINE",NA,"II","Advanced,","DFS","NCT02297698","VALID",NA,"DB00072,NA","3001322, NA","ENSG00000141736, NA, NA, NA, NA","MONDO_0007254","HER2 POLYMORPHISM POSITIVE AND HLA2 POLYMORPHISM POSITIVE OR HLAA3 POLYMORPHISM POSITIVE OR HLAA24 POLYMORPHISM POSITIVE OR HLAA26 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"22","METASTATIC BREAST CANCER","ESR1, PR, ERBB2","positive/nagative,positive/nagative,positive","AND,AND","protein expression, protein expression","SIMVASTATIN",NA,"II","Advanced, second","Objective Response","NCT03324425",NA,NA,"DB00641","54454","ENSG00000091831, ENSG00000134551, ENSG00000141736","EFO_1000984","failed","failed term"
"23","ADVANCED HER2 NEGATIVE BREAST CANCER","ERBB2","negative",NA,"protein expression,","OLAPARIB, CARBOPLATIN, ANTHRACYCLINE, CYCLOPHOSPHAMIDE",NA,"I","Advanced, first line & second line","Safety","NCT02561832","VALID",NA,"DB09074,DB00958,NA,DB00531","23725625, 56840877, NA, 2907","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"24","REFRACTORY METASTATIC BREAST CANCER","ESR1, PR, ERBB2","positive,positive,negative","AND,AND","protein expression, protein expression,protein expression,","DISULFIRAM, VINORELBIN, CISPLATIN, COPPER",NA,"II","Advanced, second","response rates","NCT04265274","VALID",NA,"DB00822,DB00361,DB00515,DB09130","3117, 44424639, 2767, 23978","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"25","METASTATIC HER2-POSITIVE BREAST CANCER","ESR1, HER2","positive,positive","AND","protein expression, protein expression & DNA","RIBOCICLIB, T-DM1, TRASTUZUMAB, FULVESTRANT","Cyclin-Dependent Kinases (CDKs),HER2, ,","I,II","Advanced,","Maximum Tolerated Dose, Clinical Benefit Rate (CBR)","NCT02657343",NA,NA,"DB11730,DB05773,DB00072,DB00947","44631912, NA, 3001322, 104741","ENSG00000091831, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND HER2 PROTEIN EXPRESSION & DNA POSITIVE","pass"
"26","ADVANCED TRIPLE-NEGATIVE BREAST CANCER","ESR1,PR,ERBB2","negative, negative,negative","AND,AND","protein expression, protein expression, protein expression","CARBOPLATIN, EVEROLIMUS",NA,"II","Advanced, first line & second line","PFS","NCT02531932","VALID",NA,"DB00958,DB01590","56840877, 6442177","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"27","HR+, HER2- ADVANCED BREAST CANCER","ESR1, PR, ERBB2","positive,positive,negative","AND,AND","protein expression, protein expression, protein expression","PALBOCICLIB, LETROZOLE",NA,"IV","Advanced","averse events (AEs) or serious adverse events (SAEs)","NCT02679755",NA,NA,"DB09073,DB01006","11478676, 3902","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"28","PRIMARY BREAST CANCER","HER2","negative",NA,"protein expression","CELECOXIB",NA,"III","Advanced or not Advanced, second","DFS","NCT02429427","VALID",NA,"DB00482","2662","ENSG00000141736","MONDO_0007254","HER2 PROTEIN EXPRESSION NEGATIVE","pass"
"29","TRIPLE NEGATIVE OR HER2 POSITIVE BREAST CANCER","ESR1,PR,HER2","negative,negative,negative/positive","AND,AND,AND","protein expression, protein expression & amplification","XELODA",NA,"II,III","Advanced, second","Adverse reactions","NCT01662128",NA,NA,"NA","60953","ENSG00000091831, ENSG00000134551, ENSG00000141736","EFO_0005537","failed","failed term"
