"","Drug","Targets","Disease","Enrichment.biomarker","Biomarker.Gene.ID","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Note","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"1","IVOSIDENIB",NA,"LEUKEMIA","IDH1",NA,"positive",NA,"mutation",NA,"DB14568","71657455","ENSG00000138413","EFO_0000565","IDH1 MUTATION POSITIVE","pass"
"2","LAPATINIB",NA,"BREAST CANCER","HLA-DQA1",NA,"positive",NA,"polymorphism",NA,"DB01259","208908","ENSG00000196735","MONDO_0007254","HLA-DQA1 POLYMORPHISM POSITIVE","pass"
"3","LAPATINIB",NA,"BREAST CANCER","HLA-DRB1",NA,"positive",NA,"polymorphism",NA,"DB01259","208908","ENSG00000196126","MONDO_0007254","HLA-DRB1 POLYMORPHISM POSITIVE","pass"
"4","LAROTRECTINIB",NA,"ABNORMAL NTRK GENE CAUSES CERTAIN TUMORS","NTRK",NA,"positive",NA,"gene fusion",NA,"DB14723","46188928","ENSG00000165300","EFO_0000294","NTRK GENE FUSION POSITIVE","pass"
"5","LENALIDOMIDE",NA,"MULTIPLE MYELOMA,LYMPHOMA,MYELODYSPLASTIC SYNDROME","Chromosome 5q",NA,"positive",NA,"deletion",NA,"DB00480","216326","NA","EFO_0000574","CHROMOSOME 5Q DELETION POSITIVE","failed biomarker"
"6","MIDOSTAURIN",NA,"ACUTE MYELOID LEUKEMIA,CERTAIN RARE BLOOD DISORDERS, INCLUDING SYSTEMIC MASTOCYTOSIS WITH MAST CELL LEUKEMIA OR OTHER CANCERS AFFECTING THE BLOOD,BONE MARROW, OR LYMPHATIC TISSUE.","NPM1",NA,"positive",NA,"mutation",NA,"DB06595","9829523","ENSG00000181163","EFO_1000068","NPM1 MUTATION POSITIVE","pass"
"7","MIDOSTAURIN",NA,"ACUTE MYELOID LEUKEMIA,CERTAIN RARE BLOOD DISORDERS, INCLUDING SYSTEMIC MASTOCYTOSIS WITH MAST CELL LEUKEMIA OR OTHER CANCERS AFFECTING THE BLOOD,BONE MARROW, OR LYMPHATIC TISSUE.","KIT",NA,"positive",NA,"mutation",NA,"DB06595","9829523","ENSG00000157404","EFO_1000068","KIT MUTATION POSITIVE","pass"
"8","MIGALASTAT",NA,"FABRY DISEASE","GLA",NA,"positive",NA,"mutation",NA,"DB05018","11644097","ENSG00000242252","Orphanet_324","GLA MUTATION POSITIVE","pass"
"9","MIVACURIUM",NA,"CALM MUSCLES DURING SURGERY,CALM MUSCLES WHILE ON A BREATHING MACHINE","BCHE",NA,"positive",NA,"polymorphism",NA,"DB01226","5281080","ENSG00000114200","MONDO_0003939","BCHE POLYMORPHISM POSITIVE","pass"
"10","MYCOPHENOLIC ACID",NA,"RGAN REJECTION AFTER A KIDNEY TRANSPLANT","HPRT1",NA,"positive",NA,"protein expression",NA,"DB01024","446541","ENSG00000165704","EFO_0003086","HPRT1 PROTEIN EXPRESSION POSITIVE","pass"
"11","NUSINERSEN",NA,"SPINAL MUSCULAR ATROPHY","SMN2",NA,"positive",NA,"protein expression",NA,"DB13161","131801471","ENSG00000205571","EFO_0008525","SMN2 PROTEIN EXPRESSION POSITIVE","pass"
"12","OBINUTUZUMAB",NA,"LEUKEMIA，LYMPHOMA","MS4A1",NA,"positive",NA,"protein expression","not sure","DB08935","NA","ENSG00000156738","EFO_0009119","MS4A1 PROTEIN EXPRESSION POSITIVE","pass"
"13","OLAPARIB",NA,"OVARIAN CANCER, FALLOPIAN TUBE CANCER, OR PERITONEAL CANCER IN WOMEN WITH A CERTAIN ABNORMAL INHERITED GENE，HER2-NEGATIVE BREAST CANCER，CANCER HAS A SPECIFIC GENETIC MARKER (AN ABNORMAL ""BRCA"" GENE)","BRCA",NA,"positive",NA,"mutation",NA,"DB09074","23725625","ENSG00000012048","EFO_0000311","BRCA MUTATION POSITIVE","pass"
"14","OLARATUMAB",NA,"SOFT TISSUE SARCOMA","PDGFRA",NA,"positive",NA,"protein silencing",NA,"DB06043","NA","ENSG00000134853","EFO_1001968","PDGFRA PROTEIN SILENCING POSITIVE","pass"
"15","PARATHYROID HORMONE",NA,"CONTROL LOW BLOOD CALCIUM LEVELS IN PEOPLE WHO HAVE LOW BLOOD PARATHYROID HORMONE LEVELS","CASR",NA,"positive",NA,"mutation","not sure","DB05829","NA","ENSG00000036828","EFO_0007937","CASR MUTATION POSITIVE","pass"
"16","PEGINTERFERON ALFA-2B",NA,"CHRONIC HEPATITIS","IFNL3",NA,"positive",NA,"protein expression",NA,"DB00022","NA","ENSG00000197110","EFO_0008496","IFNL3 PROTEIN EXPRESSION POSITIVE","pass"
"17","PONATINIB",NA,"CHRONIC MYELOGENOUS LEUKEMIA(CML)","BCR-ABL1",NA,"positive",NA,"gene fusion",NA,"DB08901","24826799","NA","EFO_0000339","BCR-ABL1 GENE FUSION POSITIVE","failed biomarker"
