"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","sheet","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"1",1,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","ABBV-368, ABBV-181","UNK, UNK","I","Advanced, Second Line","Terminal half-life (t1/2) of ABBV-368, Area under the serum concentration-time curve (AUC) of ABBV-368, Maximum tolerated dose (MTD) of ABBV-368 when administered as monotherapy or in combination with ABBV-181, Recommended Phase 2 dose (RPTD) for ABBV-368 when administered as monotherapy or as combination therapy with ABBV-181, Time to Cmax (Tmax) of ABBV-368, Terminal phase elimination rate constant (β) of ABBV-368, Number of Participants With Adverse Events, Maximum observed serum concentration (Cmax) of ABBV-368","NCT03071757","Participants with advanced or metastatic solid tumors that have exhausted standard treatment for their incurable disease and for whom there is currently no programmed cell death 1 (PD-1)/ programmed cell death-ligand 1 (PD-L1) approved therapy, with immunogenic type tumors such as, but not limited to triple negative breast cancer (TNBC). Trial includes other cancer types","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03071757",1,"NA,NA","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"2",2,"ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, BRCA1, BRCA2","Negative, Negative, Negative, Positive, Positive","AND, AND, AND, AND/OR","Protein Expression, Protein Expression, Protein Expression, Mutation, Mutation","BGB-290, TEMOZOLOMIDE","UNK, UNK","I, II","Advanced, First Line, Second Line","Incidence and nature of dose limiting toxicities (DLTs) as assessed by CTCAE,  Incidence, nature and severity of adverse events as assessed by CTCAE","NCT03150810","Trial includes other cancer types, also include patients who have some other deficiency in homologous recombination. a. Previously received at least 1 line of platinum containing chemotherapy and No progression or recurrent disease in 6 months from last platinum containing regimen. Patients with HRD+ or known breast cancer susceptibility gene (BRCA) mutant Triple-Negative Breast Cancer","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03150810",1,"NA,DB00853","135565554, 5394","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000012048, ENSG00000139618","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE","pass"
"3",3,"ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, p53","Negative, Negative, Negative, Positive/Negative","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Mutation","LY3143921 HYDRATE","CDC7","I","Advanced, First Line, Second Line","Determination of the maximal dose","NCT03096054","Histological or cytological diagnosis of incurable, advanced/metastatic cancer For Phase Ia (dose escalation): Enriched for patients with tumours associated with p53 mutation or loss of function","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03096054",1,"NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000141510","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND P53 MUTATION POSITIVE/NEGATIVE","failed drug"
"4",4,"LOCALLY ADVANCED UNRESECTABLE OR METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression/Protein Expression & Amplification","MGD013, MARGETUXIMAB","PD1/LAG3, ERBB2","I","Advanced, Second Line","Maximum Tolerated Dose, Incidence of Treatment-Emergent Adverse Events as assessed by CTCAE v4.03 (MGD013 monotherapy)","NCT03219268","Other cancers included in trial","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03219268",1,"NA,DB14967","NA, NA","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION/PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","failed drug"
"5",5,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","CB-103","UNK","I, II","Advanced, First Line, Second Line","Part A: Dose limiting toxicity (DLT), Part B: antitumour efficacy","NCT03422679","Other Cancers included in trial","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03422679",1,"DB15279","2735289","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"6",6,"TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","BOS172722, PACLITAXEL","UNK, UNK","I","First Line, Second Line","Incidence of adverse events (AEs), Number of participants with a dose-limiting toxicity (DLT)","NCT03328494","For patients, No standard curative treatment or has declined standard therapy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03328494",1,"DB15498,DB01229","73386890, 36314","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"7",7,"ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","NIS793, PDR001","TGFbeta, PD1","I","Advanced, Second Line","Incidence of DLTs, AEs, SAEs and dose reductions / interruptions for NIS793, Incidence of DLTs, AEs, SAEs and dose reductions/interruptions for NIS793 in combination with PDR001","NCT02947165","Patients must have resistance to anti-PD-1/PD-L1 therapy is defined as: Documented progressive disease occurring while on/or within 6 months after anti-PD-1 and/or anti-PD-L1 agent (single or combination) received as the last therapy prior to enrollment.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02947165",1,"NA,NA","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"8",8,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","AVELUMAB, TALAZOPARIB","PDL1, PARP","II","Advanced, First Line, Second Line","Dose Limiting Toxicity (DLT), Overall Response (OR)","NCT03330405","Other cancers included in trial","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03330405",1,"DB11945,DB11760","NA, 135565082","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"9",9,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ESR1, PGR","Positive, Positive","AND/OR","Protein Expression, Protein Expression","AVELUMAB, TALAZOPARIB","PDL1, PARP","II","Advanced, First Line, Second Line","Dose Limiting Toxicity (DLT), Overall Response (OR)","NCT03330405","Other cancers included in trial","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03330405",1,"DB11945,DB11760","NA, 135565082","ENSG00000091831, ENSG00000082175","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"10",10,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","BRCA1, BRCA2, ATM","Positive, Positive, Positive","AND/OR, OR","Mutation, Mutation, Mutation","AVELUMAB, TALAZOPARIB","PDL1, PARP","II","Advanced, First Line, Second Line","Dose Limiting Toxicity (DLT), Overall Response (OR)","NCT03330405","Other cancers included in trial","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03330405",1,"DB11945,DB11760","NA, 135565082","ENSG00000012048, ENSG00000139618, ENSG00000149311","MONDO_0007254","BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE OR ATM MUTATION POSITIVE","pass"
"11",11,"TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","MM-310","EPHA2","I","Second Line","Maximum tolerated dose (MTD) of MM-310 monotherapy administered once every 3 weeks in patients with metastatic solid tumors.","NCT03076372","other cancers included in trial, for which the patient has either received or been intolerant to all therapy known to confer clinical benefit","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03076372",1,"NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"12",12,"ADVANCED BREAST CANCER","BRCA1, BRCA2","Positive/Negative, Positive/Negative","AND/OR","Mutation, Mutation","IMP4297","PARP","I","Second Line","The AEs (adverse event) of single and multiple doses of IMP4297 administered to participants with advanced solid tumors, The maximum tolerated dose (MTD) and evaluate the dose limiting toxicities (DLTs) of IMP4297","NCT03507543","Other cancers included in trial. In the dose expansion stage, patients with BRCA (breast carcinoma) mutation will be enrolled.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03507543",1,"NA","NA","ENSG00000012048, ENSG00000139618","MONDO_0007254","BRCA1 MUTATION POSITIVE/NEGATIVE AND/OR BRCA2 MUTATION POSITIVE/NEGATIVE","failed drug"
"13",13,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","LY3295668","UNK","II","Advanced, Second Line","Objective Response Rate (Phase 2)","NCT03092934","Other cancers included in trial","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03092934",1,"NA","121333423","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"14",14,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","LY3295668","UNK","II","Advanced, Second Line","Objective Response Rate (Phase 2)","NCT03092934","Other cancers included in trial, must have failed a hormone therapy and a Cyclin-dependent kinase 4/6 (CDK4/6) inhibitor","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03092934",1,"NA","121333423","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"15",15,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression/Protein Expression & Amplification","PRS-343","UNK","I","Advanced, Second Line","Incidence and severity of AEs graded according to the National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) version 4","NCT03330561","Other cancers included in trial","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03330561",1,"NA","NA","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION/PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","failed drug"
"16",16,"METASTATIC OR UNRESECTABLE TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","IACS-010759","Oxidative Phosphorylation Inhibitor","I","Advanced, Second Line","Incidence of adverse events, Maximum tolerated dose","NCT03291938","Other cancers included in trial","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03291938",1,"NA","86711931","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"17",17,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","RO7198457, ATEZOLIZUMAB","UNK, PDL1","I","Advanced, Second Line","Percentage of Participants with Dose-Limiting Toxicities (DLTs), MTD/Recommended Phase 2 Dose (RP2D) of RO7198457, Percentage of Participants with Adverse Events (AEs), Percentage of Participants with Immune-Mediated Adverse Events (imAEs), Percentage of Participants by Number of Treatment Cycles Received, Dose Intensity of RO7198457, Change from baseline in targeted vital signs, Change from baseline in targeted clinical laboratory test results, Change from baseline in ECGs","NCT03289962","Other cancers included in trial, not previously treated with anti-PD-L1/PD-1 and/or anti-CTLA-4","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03289962",1,"NA,DB11595","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"18",18,"ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","FULVESTRANT, SY-1365","UNK, UNK","I","Advanced, Second Line","(Part 1) First-cycle dose-limiting toxicities (DLTs), (Part 1) ECG QTc Interval, (Part 1 and 2) Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]","NCT03134638","Other cancers included in trial. Patients must have failed prior treatment with a CDK 4/6 inhibitor in combination with a hormonal therapy (i.e. aromatase inhibitors, fulvestrant). Treatment failure is based on development of clinical or documented progression during treatment with a CDK4/6 inhibitor in combination with hormonal therapy after ≥ 6 months of therapy. Progression following discontinuation of CDK4/6 treatment due to safety and/or tolerability is not considered as treatment failure for purposes of inclusion criteria.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03134638",1,"DB00947,NA","104741, 118426108","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"19",19,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","TINOSTAMUSTINE","AK-DAC","I, II","Advanced, Second Line","Safety: Number of participants with treatment-related adverse events as assessed by CTCAE V4.03, Objective Response Rate (ORR) and SD that persists for at least 4 months in selected solid tumor cohorts","NCT03345485","Other cancers included in trial, Must have received at least one line of chemotherapy and no other standard therapy with proven clinical benefit is available or recommended based on the investigator's individual risk-benefit assessment for the patient. At least 3 weeks should have elapsed since prior chemotherapy or 5 half-lives, whichever is shorter, as long as the patient recovered from acute toxicity of previous therapies to ≤ grade 1 (or ≤ Grade 2 for any symptomatic neuropathy or endocrinopathies).","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03345485",1,"DB15147","46836227","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
