"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"1",1,"TRIPLE NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein Expression","ALBUMIN-BOUND PACLITAXEL, CARBOPLATIN","Gp60/Bcl2, DNA/Protein","III","First Line, Second Line","Pathologic complete response (PCR)","NCT04137653","Removed active comparator: Active Comparator: paclitaxel group","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04137653","NA,DB00958","NA, 56840877","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","failed drug"
"2",2,"TRIPLE NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein Expression","NIVOLUMAB, IPILIMUMAB","PD1, CTLA4","II","Second Line","Disease Free Survival (DFS)","NCT03818685","Excludes metastatic TN Breast Cancer, Removed active comparator: Active Comparator: Capecitabine","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03818685","DB09035,DB06186","NA, NA","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"3",3,"TRIPLE NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein Expression & amplification","IMIPRAMINE","FoxM1","I","First Line","Decrease in the proliferation rate of triple negative breast cancer","NCT03122444","Pre-surgical treatment, must be surgical candidate, reference for FoxM1: https://clincancerres.aacrjournals.org/content/22/14/3524","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03122444","DB00458","8228","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","pass"
"4",4,"BREAST CANCER (STAGE II-III)","ERBB2, PGR, ESR1","Positive, Positive, Positive","AND, AND/OR","Protein Expression, Protein expression, Protein Expression","ALBUMIN-BOUND PACLITAXEL, ANTHRACYCLINE, CYCLOPHOSPHAMIDE","Gp60/Bcl2, DNA, DNA","IV","First Line","RCB","NCT04182568","Did not include active comparator: Docetaxel","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04182568","NA,NA,DB00531","NA, NA, 2907","ENSG00000141736, ENSG00000082175, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","failed drug"
"5",5,"BREAST CANCER","ERBB2, PGR, ESR1","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein expression, Protein Expression","PALBOCICLIB, LETROZOLE","CDK4/CDK6, aromatase","III","Advanced","Progression-Free survival","NCT04047758","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04047758","DB09073,DB01006","11478676, 3902","ENSG00000141736, ENSG00000082175, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"6",6,"TRIPLE NEGATIVE BREAST CANCER (II-III)","ESR1, PGR, ERBB2","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein Expression","ALBUMIN-BOUND PACLITAXEL, CARBOPLATIN","Gp60/Bcl2, DNA/Protein","IV","First Line","Pathologic complete remission rate","NCT04136782","Removed active comparator:Drug: Epirubicin combined with docetaxel","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04136782","NA,DB00958","NA, 56840877","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","failed drug"
"7",7,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression & Amplification","PYROTINIB, ETOPOSIDE","ERBB2, Topoisomerase II/DNA","II","Advanced, Second Line","Objective Response Rate (ORR)","NCT03923179","Must be locally advanced/metastatic(Advanced, Second Line)","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03923179","DB14993,DB00773","51039030, 36462","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"8",8,"RECURRENT BREAST CANCER","ERBB2","Negative","NA","Protein Expression","DOCETAXEL, RITONAVIR","Microtubles, UNK","II","Advanced, Second Line","The objective response rate (ORR)","NCT03890744","Drug combination (oral docetaxel and ritonavir is called ModraDoc006/r)","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03890744","DB01248,DB00503","148124, 392622","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"9",9,"BREAST CANCER (I-II)","ERBB2, PGR, ESR1","Positive, Negative, Negative","AND, AND","Protein Expression & Amplification/Protein Expression, Protein Expression, Protein Expression","DURVALUMAB, TRASTUZUMAB, PERTUZUMAB","PDL1, ERBB2, ERBB2","II","Advanced, First Line, Second Line","Pathologic complete response (pCR) rate in the breast cancer patients with ERBB2-enriched and ERBB2-amplified breast cancer","NCT03820141","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03820141","DB11714,DB00072,DB06366","NA, 3001322, NA","ENSG00000141736, ENSG00000082175, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE","pass"
"10",10,"BREAST CANCER (STAGE II-III)","ERBB2, PGR, ESR1","Positive, Negative, Negative","AND, AND","Protein Expression & Amplification/Protein Expression, Protein Expression, Protein Expression","PACLITAXEL, TRASTUZUMAB, CARBOPLATIN, PERTUZUMAB","Bcl2, ERBB2, DNA/Protein, ERBB2","II","First Line","Event free survival at three years","NCT03820063","Drug combination (PTC-Ptz)","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03820063","DB01229,DB00072,DB00958,DB06366","36314, 3001322, 56840877, NA","ENSG00000141736, ENSG00000082175, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE","pass"
