"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","Biomarker.logical.conditions","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"1","NA","NA","LIVER CANCER","ACVR2B-As1","RNA",NA,"Patients",31886217,"Investigation of the Clinical Significance and Prognostic Value of the lncRNA ACVR2B-As1 in Liver Cancer.","Higher ACVR2B-AS1 expression is an independent adverse prognostic factor for overall survival (OS) and relapse-free survival (RFS) in liver cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/31886217","High_Unfavourable",NA,"NA","56956252","ENSG00000229589","MONDO_0002691","ACVR2B-AS1 RNA NA","pass"
"2","NA","NA","LIVER CANCER","MAST2","expression",NA,"Patients",31882722,"High MAST2 mRNA expression and its role in diagnosis and prognosis of liver cancer.","High MAST2 expression was associated with advanced clinical status such as histological type (p = 0.0059), histologic grade (p = 0.0142), stage (p = 0.0008), T classification (p = 0.0028), N classification (p = 0.0107), survival status (p = 0.0062), and poor prognosis of patients.MAST2 is a potential diagnostic and prognostic biomarker of liver cancer","https://www.ncbi.nlm.nih.gov/pubmed/31882722","High_Unfavourable",NA,"NA","56956252","ENSG00000086015","MONDO_0002691","MAST2 EXPRESSION NA","pass"
"3","NA","NA","HBV-RELATED HEPATOCELLULAR CARCINOMA","IGF2AS","serum-level",NA,"Patients",31850718,"Long Non-Coding RNA IGF2AS in Serum may be a Biomarker for Diagnosis of Hepatitis B Virus-Related Hepatocellular Carcinoma.","level of IGF2AS in liver cancer tissues of HBV-related HCC was significantly higher than that in the adjacent non-cancerous tissues. serum IGF2AS may be a potential biomarker for the diagnosis of HBV-related HCC","https://www.ncbi.nlm.nih.gov/pubmed/31850718","High_Unfavourable",NA,"NA","56956252","NA","EFO_0000349","IGF2AS SERUM-LEVEL NA","failed biomarker"
"4","NA","NA","HEPATOCELLULAR CARCINOMA","IL13RA2","expression",NA,"celline",31823484,"Silencing of IL13RA2 promotes partial epithelial-mesenchymal transition in hepatocellular carcinoma via ERK signaling pathway activation.","low expression of IL13RA2 is associated with poor survival of patients with HCC, and demonstrated that IL13RA2 knockdown endows HCC cells with invasive potential.IL13RA2 may have potential as a prognostic biomarker for HCC.","https://www.ncbi.nlm.nih.gov/pubmed/31823484","Low_Unfavourable",NA,"NA","56956252","ENSG00000123496","EFO_0000182","IL13RA2 EXPRESSION NA","pass"
"5","NA","NA","LIVER CANCER","PES1","expression",NA,"Patients",31814761,"PES1 In Liver Cancer: A Prognostic Biomarker With Tumorigenic Roles.","PES1 was upregulated in liver cancer and correlated with poor prognosis, by promoting tumor cell proliferation, migration, and invasion, and PES1 may be a novel diagnostic and prognostic bio-marker and a promising therapeutic target in liver cancer.","https://www.ncbi.nlm.nih.gov/pubmed/31814761","High_Unfavourable",NA,"NA","56956252","ENSG00000100029","MONDO_0002691","PES1 EXPRESSION NA","pass"
"6","NA","NA","INTRAHEPATIC CHOLANGIOCARCINOMA","CXCL9","expression",NA,"Mouse",31799781,"Endogenous CXCL9 affects prognosis by regulating tumor-infiltrating natural killer cells in intrahepatic cholangiocarcinoma.","CXCL9-sufficient cells were less tumorigenic in the liver than CXCL9-deficient cells in mice. CXCL9 was useful as a prognostic marker.CXCL9 upregulation might offer a therapeutic strategy for treating CXCL9-expressing iCCA","https://www.ncbi.nlm.nih.gov/pubmed/31799781","Low_Unfavourable",NA,"NA","56956252","ENSG00000138755","EFO_1001961","CXCL9 EXPRESSION NA","pass"
"7","NA","NA","HEPATOCELLULAR CARCINOMA","RASSF1A,                            E-Cadherin,RUNX3","methylation,methylation,methylation",NA,"Patients",31790342,"Methylation of tumour suppressor genes RUNX3, RASSF1A and E-Cadherin in HCV-related liver cirrhosis and hepatocellular carcinoma.","The presence of hypermethylated serum RASSF1A, E-Cadherin and RUNX3 is linked to HCC in patients with HCV-related cirrhosis. Only E-Cadherin is an independent risk factor for prediction of HCC with low AFP. These findings may be of diagnostic value.","https://www.ncbi.nlm.nih.gov/pubmed/31790342","High_Unfavourable",NA,"NA","56956252","NA, ENSG00000039068, ENSG00000020633","EFO_0000182","failed","failed biomarker,failed term"
"8","NA","NA","HEPATOCELLULAR CARCINOMA","PD1,TIM3","expression,expression",NA,"Patients",31783783,"PD1Hi CD8+ T cells correlate with exhausted signature and poor clinical outcome in hepatocellular carcinoma.","PD1Hi or TIM3+PD1Hi CD8+ T cells were significantly correlated with poor prognosis, and the latter was positioned in close proximity to PD-L1+ tumor associated macrophages. exhausted T cells could act as a biomarker to select the most care-demanding patients for tailored therapies.","https://www.ncbi.nlm.nih.gov/pubmed/31783783","High_Unfavourable",NA,"NA","56956252","ENSG00000145335, ENSG00000135077","EFO_0000182","failed","failed term"
"9","NA","NA","HEPATOCELLULAR CARCINOMA","LARP4B","expression",NA,"Patients",31772683,"Expression of La Ribonucleoprotein Domain Family Member 4B (LARP4B) in Liver Cancer and Their Clinical and Prognostic Significance.","liver cancer patients with high LARP4B expression had shorter overall/relapse-free survival.LARP4B is a potential independent biomarker for diagnosis and prognosis in liver cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/31772683","High_Unfavourable",NA,"NA","56956252","ENSG00000107929","EFO_0000182","LARP4B EXPRESSION NA","pass"
"10","NA","NA","HEPATOCELLULAR CARCINOMA","PAR2","expression",NA,"Patients",31768188,"Increased expression of protease-activated receptors 2 indicates poor prognosis in HBV related hepatocellular carcinoma.","PAR2 expression was increased in HCC. High PAR2 expression was correlated with both decreased overall survival and disease-free survival in patients with HCC. High PAR2 expression indicated a poor prognosis.","https://www.ncbi.nlm.nih.gov/pubmed/31768188","High_Unfavourable",NA,"NA","56956252","ENSG00000164251","EFO_0000182","PAR2 EXPRESSION NA","pass"
