"","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","Status","Validator","URL","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"1","METASTATIC BREAST CANCER, BREAST CANCER","ESR1, PR, ERBB2","Positve/negative, positive/negative, negative","OR, AND","protein expression, protein expression, protein expression","ENTINOSTAT, CAPECITABINE","HDAC, DNA/RNA/Protein Synthesis","I","Advanced, Second line","Identification of a maximum tolerated dose, Frequency of adverse events, Severity","NCT03473639","Stage IV UNK, I-III second line, http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=/netahtml/PTO/srchnum.html&r=1&f=G&l=50&s1=20140378420.PGNR.&OS=DN/20140378420&RS=DN/20140378420 (Etinostat breast cancer target source) found the other drugs use on pubchem capecitabine is a pro-drug","TVV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT03473639","DB11841,DB01101","4261, 60953","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITVE/NEGATIVE OR PR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"2","METASTATIC TRIPLE-NEGATIVE BREAST CANCER","ESR1, PR, ERBB2","Negative, negative, negative","AND, AND","protein expression, protein expression, protein expression","TALAZOPARIB, SACITUZUMAB GOVITECAN","PARP, Topoisomerase I-DNA covalent complexes","I, II","Advanced, Second line","Dose Limiting Toxicity","NCT04039230","Sacituzumab Govitecan target was found on pubchem","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT04039230","DB11760,DB12893","135565082, 91668186","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"3","EBBR2-POSITIVE BREAST CANCER BRAIN METASTASES","ERBB2","Positve",NA,"protein expression & amplification","TRASTUZUMAB, GDC-0084","EBBR2, PI3-Kinase","II","Advanced, First line&Second line","Overall Response Rate in the CNS, To evaluate the correlation between inhibition of p-4EBP1 in resected brain tumor tissue and intracranial response in the corresponding patient-derived xenograft (PDX) models of BCBM","NCT03765983","All about CNS metastasis, could be first or second line, it did not specifiy","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03765983","DB00072,DB15186","3001322, 57384863","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITVE","pass"
"4","BREAST CANCER (STAGE I-III)","ESR1, ERBB2","Positve, negative","AND","protein expression, protein expression","ASPIRIN, TAMOXIFEN, DOXORUBICIN, CYCLOPHOSPHAMIDE, PACLITAXEL","COX, Estrogen Receptors, DNA/DNA-topoisomerase II complex, DNA, Bcl2","II","Non-advanced and advanced, First line","Pathologic complete response (pCR) rate, Adverse Events","NCT04038489",NA,"TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT04038489","DB00945,DB00675,DB00997,DB00531,DB01229","2244, 2733526, 443939, 2907, 36314","ENSG00000091831, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"5","PRIMARY INVASIVE BREAST CANCER AND CLINICAL STAGE I - III, FIRST OPTION Ⅳ","ERBB2, ESR1, PR","Positive/Negative, Negative, Negative","AND, AND","protein expression, protein expression, protein expression","NAB-PACLITAXEL","Bcl2/GP60","II","Advanced, First line&Second line","the Pathological complete remission(pCR), Disease-free survival (DFS)","NCT03959397","Seems to be first line, but only excludes those whom have had ""Participation in any trial drug treatment or another interventional clinical trial 30 days before screening period.","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03959397","NA","36314","ENSG00000141736, ENSG00000091831, ENSG00000134551","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","pass"
"6","METASTATIC BREAST CANCER","ERBB2, ER, PR","Negative, negative/positive, negative/positive","AND/OR, AND/OR","protein expression, protein expression, protein expression","NIVOLUMAB, IPILIMUMAB","PD1, CTLA4","II","Advanced, Second Line","Overall Response Rate of nivolumab in combination with ipilimumab","NCT03789110","ER/PR positive paitents must have had progression after HR treatment","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03789110","DB09035,DB06186","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000134551","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND/OR ER PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","pass"
"7","BREAST CANCER STAGE (STAGE IV)","ERBB2","Positive",NA,"protein expression & amplification","SIMVASTATIN","UNK","II","Advanced, Second line","Objective Response","NCT03324425","Simvastatin is a drug that is approved by the Food and Drug Administration (FDA) to treat high cholesterol. Laboratory research has shown that simvastatin together with dual EBBR2-targeted therapy slows the growth of breast cancer tumors that had been growing on dual EBBR2-targeting therapy alone.","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03324425","DB00641","54454","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"8","BREAST CANCER FEMALE","ESR1, ERBB2, PR","Positve, negative, positive","AND, AND/OR","mutation, protein expression, protein expression","PEMBROLIZUMAB, TAMOXIFEN","PD1, Estrogen Receptors","II","Advanced, Second line","Progression Free Survival, Overall Response Rate (ORR)","NCT03879174",NA,"TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03879174","DB09037,DB00675","NA, 2733526","ENSG00000091831, ENSG00000141736, ENSG00000134551","MONDO_0007254","ESR1 MUTATION POSITVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","pass"
"9","BREAST CANCER","ERBB2","Negative",NA,"protein expression","APATINIB, PACLITAXEL, CISPLATIN","VEGFR2, Bcl2, Replication and transcription of DNA","II","Advanced First line, First line","Pathologic Complete Response (pCR) of the Primary Tumor in the Breast","NCT03982485","Must include surgery","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03982485","DB14765,DB01229,DB00515","45139106, 36314, 2767","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"10","BREAST CANCER STAGE (STAGE II-III)","ERBB2, ESR1","Negative, Positive","AND","protein expression, protein expression","PALBOCICLIB","CDK4/CDK6","II","Advanced first line, First line","distant recurrence-free interval (D-RFI) rate","NCT03609047","has comparator with different treatments","TVV",NA,NA,"https://ClinicalTrials.gov/show/NCT03609047","DB09073","11478676","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
