"record_id","drug","biomarker","biomarker_relations","biomarker_description","disease","curator","source","source_id"
"BiomarkerKG594659457","ABACAVIR","HLA-B",NA,"HLA-B POLYMORPHISM NA","AIDS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1498962895","ABEMACICLIB","ESR, ERBB2","AND","ESR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","(HER2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1064188334","AFATINIB","EGFR",NA,"EGFR MUTATION NA","LUNG CANCER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1932775397","ALECTINIB","ALK",NA,"ALK PROTEIN EXPRESSION NA","NON-SMALL CELL LUNG CANCER THAT HAS SPREAD TO OTHER PARTS OF THE BODY","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-955586545","ALPELISIB","ESR, ERBB2, PIK3CA","AND,AND","ESR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE AND PIK3CA MUTATION POSITIVE","ADVANCED OR METASTATIC BREAST CANCER","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1386474016","AMIFAMPRIDINE","NAT2",NA,"NAT2 POLYMORPHISM NA","LAMBERT-EATON MYASTHENIA SYNDROME IN ADULTS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1029442076","AMIFAMPRIDINE PHOSPHATE","NAT2",NA,"NAT2 POLYMORPHISM NA","LAMBERT-EATON SYNDROME","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1233009142","AMITRIPTYLINE","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","DEPRESSION","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG979588562","AMOXAPINE","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","DEPRESSION","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG2008815520","AMPHETAMINE","CYP2D7",NA,"CYP2D7 POLYMORPHISM NA","ATTENTION DEFICIT HYPERACTIVITY DISORDER,OBESITY","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG445115987","ARFORMOTEROL","UGT1A1, CYP2D6","AND/OR","UGT1A1 POLYMORPHISM POSITIVE AND/OR CYP2D6 POLYMORPHISM POSITIVE","CHRONIC OBSTRUCTIVE PULMONARY DISEASE","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-493957746","ARIPIPRAZOLE   LAUROXIL","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","SCHIZOPHRENIA AND BIPOLAR DISORDER,MAJOR DEPRESSION,TOURETTE'S DISEASE OR AUTISM","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1476585244","ARSENIC TRIOXIDE","PML-RARA",NA,"PML-RARA TRANSLOCATION NA","BLOOD AND BONE MARROW CANCERS","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG-1745727063","ARTICAINE, EPINEPHRINE","G6PD",NA,"G6PD PROTEIN EXPRESSION NA","ANESTHESIOLOGY,BEFORE DENTAL CARE TO NUMB THE AREA","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG1850603683","ATEZOLIZUMAB","CD274",NA,"CD274 PROTEIN EXPRESSION NA","BREAST BLADDER AND URINARY TRACT CANCERS, NON-SMALL CELL LUNG CANCER.","Ben","FDA","https://www.fda.gov/media/124784/download"
"BiomarkerKG875467658","ATEZOLIZUMAB","CD274, Gene Signature
(T-effector)","AND","CD274 PROTEIN EXPRESSION POSITIVE AND GENE SIGNATURE
(T-EFFECTOR) OTHERS POSITIVE","METASTATIC CHEMOTHERAPY-NAIVE NON-SQUAMOUS NSCLC","Ben","FDA","https://www.fda.gov/media/124784/download"
