"record_id","drug_name","drugbank_id","pubchem_id"
"BiomarkerKG594659457","ABACAVIR","DB01048","441300"
"BiomarkerKG1498962895","ABEMACICLIB","DB12001","46220502"
"BiomarkerKG-1064188334","AFATINIB","DB08916","10184653"
"BiomarkerKG-1932775397","ALECTINIB","DB11363","49806720"
"BiomarkerKG-955586545","ALPELISIB","DB12015","56649450"
"BiomarkerKG-1386474016","AMIFAMPRIDINE","DB11640","9920716"
"BiomarkerKG-1029442076","AMIFAMPRIDINE PHOSPHATE",NA,"9920716"
"BiomarkerKG1233009142","AMITRIPTYLINE","DB00321","11065"
"BiomarkerKG979588562","AMOXAPINE","DB00543","2170"
"BiomarkerKG2008815520","AMPHETAMINE","DB00182","3007"
"BiomarkerKG445115987","ARFORMOTEROL","DB01274","3083544"
"BiomarkerKG-493957746","ARIPIPRAZOLE   LAUROXIL",NA,"49831411"
"BiomarkerKG1476585244","ARSENIC TRIOXIDE","DB01169",NA
"BiomarkerKG-1745727063","ARTICAINE","DB09009","32169"
"BiomarkerKG-1745727063","EPINEPHRINE","DB00668"," 5816"
"BiomarkerKG1850603683","ATEZOLIZUMAB","DB11595",NA
"BiomarkerKG875467658","ATEZOLIZUMAB","DB11595",NA
"BiomarkerKG1616970176","ATEZOLIZUMAB","DB11595",NA
"BiomarkerKG-292801829","ATOMOXETINE","DB00289","54840"
"BiomarkerKG719702881","AVATROMBOPAG","DB11995","9852519"
"BiomarkerKG-1188758294","AVELUMAB","DB11945",NA
"BiomarkerKG1048595055","AZATHIOPRINE","DB00993","2265"
"BiomarkerKG2059480590","BELINOSTAT","DB05015","6918638"
"BiomarkerKG736314554","BINIMETINIB","DB11967","10288191"
"BiomarkerKG-378943012","BOCEPREVIR","DB08873","10324367"
"BiomarkerKG-771556728","BRENTUXIMAB VEDOTIN","DB08870",NA
"BiomarkerKG1173989673","BRENTUXIMAB VEDOTIN","DB08870",NA
"BiomarkerKG829815143","BREXPIPRAZOLE","DB09128","11978813"
"BiomarkerKG1437695799","BRIGATINIB","DB12267","68165256"
"BiomarkerKG282615554","BRIVARACETAM","DB05541","9837243"
"BiomarkerKG816316872","CABOZANTINIB","DB08875","25102846"
"BiomarkerKG1533469514","CAPECITABINE","DB01101","60953"
"BiomarkerKG205847830","CARBAMAZEPINE","DB00564","2554"
"BiomarkerKG541509081","CARGLUMIC ACID","DB06775","121396"
"BiomarkerKG1069940068","CARIPRAZINE","DB06016","11154555"
"BiomarkerKG1900108140","CARISOPRODOL","DB00395","2576"
