"","cor"
"SKBR3",0.308760358360042
"MCF7",0.293396271532829
"COV644",0.292079391076559
"BT20",0.281461322758303
"EFO27",0.242950635521266
"HS578T",0.242692312623711
"AGS",0.240673676748084
"U2OS",0.221575731520611
"MDAMB231",0.212940880221243
"HCC15",0.212789169220113
"OV7",0.212674357514715
"VCAP",0.208765965001741
"T3M10",0.198090381650522
"PC3",0.196704415758649
"JHUEM2",0.182207671738876
"A549",0.178779828428241
"SKMEL28",0.176007999184257
"SKLU1",0.172586663775178
"HEC108",0.16895792197926
"SNUC4",0.168579416165518
"DV90",0.164524566991813
"SW948",0.163887373020967
"SNGM",0.163705149035478
"HEPG2",0.161626181127495
"HT29",0.160696770622558
"A375",0.16018421731764
"SNUC5",0.156216311191679
"MDST8",0.154713734775308
"SKMEL1",0.153790109498639
"A673",0.146109973731027
"HCT116",0.140523328748851
"CL34",0.136397779046819
"HT115",0.129244358715067
"NCIH508",0.129070742339305
"U266B1",0.128132747085147
"LOVO",0.124000900472294
"RMGI",0.12234573593368
"WSUDLCL2",0.108107813733418
"NCIH1299",0.0788413289601483
"SW620",0.0757910713352694
"PL21",0.0727180265117446
"NCIH1694",0.0721112502779081
"TYKNU",0.0677603295371833
"NCIH716",0.0593583873675662
"THP1",0.0512956335745056
"HL60",0.0495414091565699
"NOMO1",0.0366370160458273
"SKM1",0.0239123167533103
"JURKAT",0.0152757418052407
"RKO",0.0130111650397286
"U937",-0.00277944169835595
