"","empirical"
"1","ENSG00000000003"
"2","ENSG00000000457"
"3","ENSG00000001084"
"4","ENSG00000001460"
"5","ENSG00000001497"
"6","ENSG00000001561"
"7","ENSG00000001626"
"8","ENSG00000001631"
"9","ENSG00000002330"
"10","ENSG00000002586"
"11","ENSG00000002587"
"12","ENSG00000002746"
"13","ENSG00000002822"
"14","ENSG00000002933"
"15","ENSG00000003147"
"16","ENSG00000003393"
"17","ENSG00000003400"
"18","ENSG00000003509"
"19","ENSG00000003987"
"20","ENSG00000003989"
"21","ENSG00000004139"
"22","ENSG00000004399"
"23","ENSG00000004468"
"24","ENSG00000004660"
"25","ENSG00000004766"
"26","ENSG00000004848"
"27","ENSG00000004864"
"28","ENSG00000004948"
"29","ENSG00000005001"
"30","ENSG00000005007"
"31","ENSG00000005020"
"32","ENSG00000005073"
"33","ENSG00000005100"
"34","ENSG00000005238"
"35","ENSG00000005243"
"36","ENSG00000005249"
"37","ENSG00000005302"
"38","ENSG00000005339"
"39","ENSG00000005421"
"40","ENSG00000005436"
"41","ENSG00000005448"
"42","ENSG00000005469"
"43","ENSG00000005483"
"44","ENSG00000005513"
"45","ENSG00000005801"
"46","ENSG00000005810"
"47","ENSG00000005812"
"48","ENSG00000005882"
"49","ENSG00000005884"
"50","ENSG00000005889"
"51","ENSG00000006016"
"52","ENSG00000006042"
"53","ENSG00000006047"
"54","ENSG00000006071"
"55","ENSG00000006194"
"56","ENSG00000006282"
"57","ENSG00000006377"
"58","ENSG00000006468"
"59","ENSG00000006530"
"60","ENSG00000006534"
"61","ENSG00000006555"
"62","ENSG00000006607"
"63","ENSG00000006611"
"64","ENSG00000006638"
"65","ENSG00000006695"
"66","ENSG00000006740"
"67","ENSG00000006744"
"68","ENSG00000006831"
"69","ENSG00000006837"
"70","ENSG00000007038"
"71","ENSG00000007047"
"72","ENSG00000007062"
"73","ENSG00000007080"
"74","ENSG00000007129"
"75","ENSG00000007168"
"76","ENSG00000007171"
"77","ENSG00000007174"
"78","ENSG00000007216"
"79","ENSG00000007237"
"80","ENSG00000007264"
"81","ENSG00000007312"
"82","ENSG00000007341"
"83","ENSG00000007372"
"84","ENSG00000007516"
"85","ENSG00000007520"
"86","ENSG00000007541"
"87","ENSG00000007545"
"88","ENSG00000007908"
"89","ENSG00000007923"
"90","ENSG00000007933"
"91","ENSG00000007944"
"92","ENSG00000008086"
"93","ENSG00000008130"
"94","ENSG00000008196"
"95","ENSG00000008277"
"96","ENSG00000008282"
"97","ENSG00000008294"
"98","ENSG00000008323"
"99","ENSG00000008394"
"100","ENSG00000008405"
"101","ENSG00000008441"
"102","ENSG00000008516"
"103","ENSG00000008838"
"104","ENSG00000008869"
"105","ENSG00000008988"
"106","ENSG00000009780"
"107","ENSG00000009790"
"108","ENSG00000010219"
"109","ENSG00000010244"
"110","ENSG00000010270"
"111","ENSG00000010361"
"112","ENSG00000010404"
"113","ENSG00000010438"
"114","ENSG00000010704"
"115","ENSG00000010803"
"116","ENSG00000010818"
"117","ENSG00000010932"
"118","ENSG00000011028"
"119","ENSG00000011105"
"120","ENSG00000011114"
"121","ENSG00000011143"
"122","ENSG00000011198"
"123","ENSG00000011258"
"124","ENSG00000011275"
"125","ENSG00000011295"
"126","ENSG00000011304"
"127","ENSG00000011332"
"128","ENSG00000011405"
"129","ENSG00000011451"
"130","ENSG00000011454"
"131","ENSG00000011478"
"132","ENSG00000011485"
"133","ENSG00000011566"
"134","ENSG00000011590"
"135","ENSG00000011638"
"136","ENSG00000012061"
"137","ENSG00000012124"
"138","ENSG00000012171"
"139","ENSG00000012211"
"140","ENSG00000012223"
"141","ENSG00000012232"
"142","ENSG00000012660"
"143","ENSG00000012779"
"144","ENSG00000013016"
"145","ENSG00000013288"
"146","ENSG00000013364"
"147","ENSG00000013374"
"148","ENSG00000013375"
"149","ENSG00000013392"
"150","ENSG00000013523"
"151","ENSG00000013563"
"152","ENSG00000013573"
"153","ENSG00000013619"
"154","ENSG00000014123"
"155","ENSG00000014164"
"156","ENSG00000014216"
"157","ENSG00000014257"
"158","ENSG00000015153"
"159","ENSG00000015285"
"160","ENSG00000015413"
"161","ENSG00000015475"
"162","ENSG00000015520"
"163","ENSG00000015532"
"164","ENSG00000016391"
"165","ENSG00000016402"
"166","ENSG00000016864"
"167","ENSG00000017483"
"168","ENSG00000018236"
"169","ENSG00000018408"
"170","ENSG00000018869"
"171","ENSG00000019102"
"172","ENSG00000019169"
"173","ENSG00000019186"
"174","ENSG00000019995"
"175","ENSG00000020633"
"176","ENSG00000020922"
"177","ENSG00000021300"
"178","ENSG00000021645"
"179","ENSG00000021826"
"180","ENSG00000022556"
"181","ENSG00000022567"
"182","ENSG00000023041"
"183","ENSG00000023171"
"184","ENSG00000023191"
"185","ENSG00000023445"
"186","ENSG00000023516"
"187","ENSG00000023608"
"188","ENSG00000023839"
"189","ENSG00000023892"
"190","ENSG00000023902"
"191","ENSG00000023909"
"192","ENSG00000024048"
"193","ENSG00000024862"
"194","ENSG00000025039"
"195","ENSG00000025156"
"196","ENSG00000025708"
"197","ENSG00000025770"
"198","ENSG00000026559"
"199","ENSG00000026751"
"200","ENSG00000026950"
"201","ENSG00000027075"
"202","ENSG00000027847"
"203","ENSG00000027869"
"204","ENSG00000028277"
"205","ENSG00000028528"
"206","ENSG00000028839"
"207","ENSG00000029363"
"208","ENSG00000029639"
"209","ENSG00000030066"
"210","ENSG00000030419"
"211","ENSG00000031003"
"212","ENSG00000031081"
"213","ENSG00000031698"
"214","ENSG00000031823"
"215","ENSG00000032444"
"216","ENSG00000032742"
"217","ENSG00000033030"
"218","ENSG00000033178"
"219","ENSG00000033327"
"220","ENSG00000033627"
"221","ENSG00000033800"
"222","ENSG00000033867"
"223","ENSG00000034053"
"224","ENSG00000034152"
"225","ENSG00000034677"
"226","ENSG00000034693"
"227","ENSG00000034713"
"228","ENSG00000034971"
"229","ENSG00000035115"
"230","ENSG00000035403"
"231","ENSG00000035681"
"232","ENSG00000035928"
"233","ENSG00000036054"
"234","ENSG00000036448"
"235","ENSG00000036549"
"236","ENSG00000036672"
"237","ENSG00000037637"
"238","ENSG00000037965"
"239","ENSG00000038219"
"240","ENSG00000038274"
"241","ENSG00000038382"
"242","ENSG00000038532"
"243","ENSG00000039123"
"244","ENSG00000039139"
"245","ENSG00000039319"
"246","ENSG00000039537"
"247","ENSG00000039650"
"248","ENSG00000040199"
"249","ENSG00000040487"
"250","ENSG00000040531"
"251","ENSG00000040933"
"252","ENSG00000041515"
"253","ENSG00000041988"
"254","ENSG00000042317"
"255","ENSG00000042429"
"256","ENSG00000042445"
"257","ENSG00000042980"
"258","ENSG00000043039"
"259","ENSG00000043143"
"260","ENSG00000043462"
"261","ENSG00000043514"
"262","ENSG00000043591"
"263","ENSG00000044090"
"264","ENSG00000044459"
"265","ENSG00000044524"
"266","ENSG00000046647"
"267","ENSG00000046774"
"268","ENSG00000047056"
"269","ENSG00000047188"
"270","ENSG00000047346"
"271","ENSG00000047365"
"272","ENSG00000047457"
"273","ENSG00000047578"
"274","ENSG00000047617"
"275","ENSG00000047644"
"276","ENSG00000047849"
"277","ENSG00000047932"
"278","ENSG00000048028"
"279","ENSG00000048052"
"280","ENSG00000048162"
"281","ENSG00000048342"
"282","ENSG00000048405"
"283","ENSG00000048462"
"284","ENSG00000048471"
"285","ENSG00000048540"
"286","ENSG00000048707"
"287","ENSG00000049089"
"288","ENSG00000049192"
"289","ENSG00000049245"
"290","ENSG00000049246"
"291","ENSG00000049449"
"292","ENSG00000049540"
"293","ENSG00000049618"
"294","ENSG00000049759"
"295","ENSG00000049769"
"296","ENSG00000049883"
"297","ENSG00000050030"
"298","ENSG00000050165"
"299","ENSG00000050327"
"300","ENSG00000050405"
"301","ENSG00000050628"
"302","ENSG00000050820"
"303","ENSG00000051108"
"304","ENSG00000051128"
"305","ENSG00000051523"
"306","ENSG00000052126"
"307","ENSG00000052795"
"308","ENSG00000052841"
"309","ENSG00000053501"
"310","ENSG00000053524"
"311","ENSG00000053918"
"312","ENSG00000054148"
"313","ENSG00000054179"
"314","ENSG00000054219"
"315","ENSG00000054267"
"316","ENSG00000054282"
"317","ENSG00000054356"
"318","ENSG00000054523"
"319","ENSG00000054598"
"320","ENSG00000054611"
"321","ENSG00000054938"
"322","ENSG00000054965"
"323","ENSG00000054967"
"324","ENSG00000054983"
"325","ENSG00000055130"
"326","ENSG00000055208"
"327","ENSG00000055211"
"328","ENSG00000055609"
"329","ENSG00000055950"
"330","ENSG00000056097"
"331","ENSG00000056277"
"332","ENSG00000056291"
"333","ENSG00000056487"
"334","ENSG00000056586"
"335","ENSG00000056736"
"336","ENSG00000056972"
"337","ENSG00000057019"
"338","ENSG00000057149"
"339","ENSG00000057294"
"340","ENSG00000057657"
"341","ENSG00000057704"
"342","ENSG00000057757"
"343","ENSG00000058056"
"344","ENSG00000058063"
"345","ENSG00000058085"
"346","ENSG00000058091"
"347","ENSG00000058404"
"348","ENSG00000058600"
"349","ENSG00000058668"
"350","ENSG00000058673"
"351","ENSG00000059377"
"352","ENSG00000059588"
"353","ENSG00000059691"
"354","ENSG00000059728"
"355","ENSG00000059758"
"356","ENSG00000059769"
"357","ENSG00000059915"
"358","ENSG00000060069"
"359","ENSG00000060140"
"360","ENSG00000060339"
"361","ENSG00000060491"
"362","ENSG00000060558"
"363","ENSG00000060642"
"364","ENSG00000060656"
"365","ENSG00000060709"
"366","ENSG00000060762"
"367","ENSG00000060971"
"368","ENSG00000061337"
"369","ENSG00000061455"
"370","ENSG00000061656"
"371","ENSG00000061918"
"372","ENSG00000062038"
"373","ENSG00000062370"
"374","ENSG00000062485"
"375","ENSG00000062582"
"376","ENSG00000062598"
"377","ENSG00000062716"
