"","pert_iname","mean","n","median","sd","sRGES"
"1","BRD-K18327813",-1.12224410229189,1,-1.12224410229189,NA,-1.12224410229189
"2","BRD-K28578807",-1.08440003863864,1,-1.08440003863864,NA,-1.08440003863864
"3","BRD-K58743986",-1.03320522097842,1,-1.03320522097842,NA,-1.03320522097842
"4","BRD-K15634164",-1.03288201857144,1,-1.03288201857144,NA,-1.03288201857144
"5","BRD-K85642378",-1.03244716442387,1,-1.03244716442387,NA,-1.03244716442387
"6","BRD-K27638907",-1.02357378925052,1,-1.02357378925052,NA,-1.02357378925052
"7","BRD-K08138210",-1.01018733319429,1,-1.01018733319429,NA,-1.01018733319429
"8","BRD-K84787606",-1.00953460836809,1,-1.00953460836809,NA,-1.00953460836809
"9","BRD-K07686903",-1.00764240518543,1,-1.00764240518543,NA,-1.00764240518543
"10","BRD-K07817703",-0.990154216764305,1,-0.990154216764305,NA,-0.990154216764305
"11","BRD-K81721884",-0.982162302700887,1,-0.982162302700887,NA,-0.982162302700887
"12","BRD-K59423635",-0.975839288338947,1,-0.975839288338947,NA,-0.975839288338947
"13","BRD-K75486920",-0.974229152711464,1,-0.974229152711464,NA,-0.974229152711464
"14","BRD-K47664103",-0.970744886728363,1,-0.970744886728363,NA,-0.970744886728363
"15","BRD-K36671795",-0.964739198366001,1,-0.964739198366001,NA,-0.964739198366001
"16","BRD-K60706752",-0.964045782292851,1,-0.964045782292851,NA,-0.964045782292851
"17","BRD-K82906409",-0.958997504731773,1,-0.958997504731773,NA,-0.958997504731773
"18","BRD-K95360473",-0.957393689116535,1,-0.957393689116535,NA,-0.957393689116535
"19","BRD-K87340398",-0.951322916667932,1,-0.951322916667932,NA,-0.951322916667932
"20","BRD-K19593188",-0.943839533646999,2,-0.943839533646999,0.10158302247606,-0.943839533646999
"21","BRD-K83426260",-0.938606371055257,1,-0.938606371055257,NA,-0.938606371055257
"22","BRD-K73205140",-0.938271859438328,1,-0.938271859438328,NA,-0.938271859438328
"23","BRD-K59336577",-0.937948213426505,1,-0.937948213426505,NA,-0.937948213426505
"24","BRD-K85672685",-0.933670188839617,1,-0.933670188839617,NA,-0.933670188839617
"25","BRD-K53601225",-0.93187516818147,2,-0.93187516818147,0.0860423967465769,-0.93187516818147
