"","cor"
"SKBR3",0.312064365816543
"BT20",0.294312115601573
"COV644",0.292909971537215
"MCF7",0.289604266905858
"EFO27",0.244228440309428
"AGS",0.243938304010939
"HS578T",0.237981298805152
"HCC15",0.210534039899354
"MDAMB231",0.208807625282757
"VCAP",0.207299201576817
"OV7",0.20524242797751
"PC3",0.204518724428737
"T3M10",0.201194563128105
"U2OS",0.20047071992685
"SNUC4",0.183220693751883
"SNGM",0.176791841312615
"JHUEM2",0.175804203828124
"SW948",0.174489044348648
"HT29",0.172697252143433
"A549",0.172005229898044
"DV90",0.171154376996849
"SNUC5",0.164257318535015
"HEPG2",0.163783277866063
"HEC108",0.161894878650666
"SKLU1",0.161108489673889
"SKMEL28",0.159172091657775
"MDST8",0.150465426928604
"CL34",0.149111786555192
"HT115",0.148093563370987
"A673",0.148021803130487
"A375",0.146032886807173
"NCIH508",0.145866810307902
"HCT116",0.137553512396921
"LOVO",0.136606667365158
"SKMEL1",0.130842447401268
"RMGI",0.130811935140063
"U266B1",0.127771725202802
"WSUDLCL2",0.121767617651456
"SW620",0.08104179947717
"PL21",0.0715892481067175
"NCIH1299",0.0666487704857322
"HL60",0.0649198985077338
"NCIH716",0.0634856520303368
"THP1",0.0624486368089766
"NCIH1694",0.0620302113473171
"TYKNU",0.0611697597181324
"SKM1",0.0468506943334469
"NOMO1",0.0414624557280389
"U937",0.0189067464897294
"RKO",0.0154356275396141
"JURKAT",0.0134981545499588
