"","TCGA-A2-A04P-01","TCGA-A2-A0CW-01","TCGA-A2-A0T5-01","TCGA-A7-A5ZW-01","TCGA-A8-A06T-01","TCGA-A8-A081-01","TCGA-A8-A08F-01","TCGA-AN-A046-01","TCGA-AN-A0AS-01","TCGA-AR-A1AM-01","TCGA-B6-A0IJ-01","TCGA-BH-A0HF-01","TCGA-C8-A12Q-01","TCGA-E2-A10C-01","TCGA-E2-A15P-01","TCGA-E2-A1LS-01","TCGA-E9-A249-01"
"GTEX-1117F-2826-SM-5GZXL",0.035485347985348,-0.0216117216117216,-0.00604395604395604,0.211538461538462,0.03003663003663,0.0251831501831502,-0.0913003663003663,0.0193223443223443,0.0206043956043956,0.303525641025641,-0.00151098901098901,0.183882783882784,0.334615384615385,0.123992673992674,0.365064102564103,0.23525641025641,0.161263736263736
"GTEX-11EM3-1326-SM-5N9C6",0.128663003663004,-0.00297619047619048,0.195009157509158,0.330082417582418,0.15503663003663,0.123626373626374,-0.120100732600733,-0.0257783882783883,-0.00970695970695971,0.602380952380952,0.0757783882783883,0.264377289377289,0.435668498168498,0.22518315018315,0.559661172161172,0.321978021978022,0.283699633699634
"GTEX-11I78-2226-SM-5PNYA",0.0938644688644689,0.0133241758241758,0.0206043956043956,0.231135531135531,0.0586080586080586,0.018956043956044,-0.0570970695970696,0.059981684981685,0.0544871794871795,0.35260989010989,-0.0595695970695971,0.25206043956044,0.270009157509157,0.20764652014652,0.354899267399267,0.239835164835165,0.147847985347985
"GTEX-11ILO-2226-SM-5A5L1",0.019047619047619,0.0351648351648352,0.0568681318681319,0.324862637362637,0.113003663003663,0.0804945054945055,-0.00173992673992674,0.0584249084249084,0.0794871794871795,0.434752747252747,0.00425824175824176,0.184111721611722,0.393406593406593,0.200228937728938,0.465567765567766,0.164972527472527,0.250595238095238
"GTEX-11P81-1926-SM-5BC53",0.0820054945054945,-0.0649725274725275,0.0546245421245421,0.291758241758242,0.0826923076923077,0.132875457875458,-0.138873626373626,-0.088507326007326,-0.0929029304029304,0.472893772893773,0.08246336996337,0.277747252747253,0.401419413919414,0.185943223443223,0.485897435897436,0.279212454212454,0.187179487179487
"GTEX-1211K-1926-SM-5EQLB",-0.0685897435897436,-0.023489010989011,0.00558608058608059,0.218498168498168,0.100595238095238,0.0720695970695971,-0.0229395604395604,-0.0206959706959707,0.0364468864468864,0.352930402930403,0.0233516483516483,0.255952380952381,0.370467032967033,0.0761904761904762,0.426007326007326,0.157692307692308,0.171108058608059
"GTEX-1269C-2426-SM-5FQSN",0.212545787545788,0.0281135531135531,0.160531135531136,0.280631868131868,0.0855769230769231,0.173901098901099,-0.063003663003663,-0.0592032967032967,-0.0527472527472527,0.545100732600733,0.184249084249084,0.310851648351648,0.356501831501831,0.274496336996337,0.458287545787546,0.235347985347985,0.208882783882784
"GTEX-12WSB-0626-SM-59HJO",-0.161721611721612,0.0086996336996337,-0.181135531135531,0.138965201465201,0.0606684981684982,0.0724358974358974,0.0783882783882784,0.0582875457875458,0.046978021978022,0.0806318681318681,-0.0770604395604396,0.0657967032967033,0.241666666666667,0.022481684981685,0.200961538461538,-0.103250915750916,0.104029304029304
"GTEX-12ZZX-1126-SM-5EGKB",0.176144688644689,0.102152014652015,0.224496336996337,0.334798534798535,0.183379120879121,0.286630036630037,0.0413919413919414,-0.052518315018315,-0.0196886446886447,0.582188644688645,0.240842490842491,0.268635531135531,0.448168498168498,0.273031135531136,0.494917582417582,0.159981684981685,0.224587912087912
"GTEX-13113-1726-SM-5GCOO",-0.000686813186813187,0.0328754578754579,0.120054945054945,0.36043956043956,0.0266483516483516,0.133195970695971,-0.0157509157509158,0.00947802197802198,0.132142857142857,0.358516483516484,0.0174450549450549,0.333608058608059,0.380723443223443,0.0765567765567766,0.387591575091575,0.151923076923077,0.157875457875458
"GTEX-1313W-0826-SM-5EQ4T",0.046978021978022,0.0143772893772894,0.158424908424908,0.470100732600733,0.0398351648351648,0.0901098901098901,-0.0507326007326007,0.0911630036630037,0.142445054945055,0.378205128205128,-0.0727564102564102,0.415247252747253,0.252884615384615,0.158928571428571,0.356456043956044,0.16790293040293,0.136217948717949
