"","empirical"
"1","ENSG00000000938"
"2","ENSG00000001084"
"3","ENSG00000001460"
"4","ENSG00000001497"
"5","ENSG00000001561"
"6","ENSG00000001631"
"7","ENSG00000002330"
"8","ENSG00000002586"
"9","ENSG00000002587"
"10","ENSG00000002822"
"11","ENSG00000002933"
"12","ENSG00000003393"
"13","ENSG00000003509"
"14","ENSG00000003987"
"15","ENSG00000004399"
"16","ENSG00000004468"
"17","ENSG00000004660"
"18","ENSG00000005001"
"19","ENSG00000005007"
"20","ENSG00000005020"
"21","ENSG00000005100"
"22","ENSG00000005187"
"23","ENSG00000005243"
"24","ENSG00000005249"
"25","ENSG00000005302"
"26","ENSG00000005339"
"27","ENSG00000005436"
"28","ENSG00000005483"
"29","ENSG00000005513"
"30","ENSG00000005801"
"31","ENSG00000005810"
"32","ENSG00000005812"
"33","ENSG00000005882"
"34","ENSG00000005884"
"35","ENSG00000005889"
"36","ENSG00000005961"
"37","ENSG00000006042"
"38","ENSG00000006047"
"39","ENSG00000006071"
"40","ENSG00000006282"
"41","ENSG00000006459"
"42","ENSG00000006468"
"43","ENSG00000006530"
"44","ENSG00000006534"
"45","ENSG00000006555"
"46","ENSG00000006607"
"47","ENSG00000006638"
"48","ENSG00000006695"
"49","ENSG00000006740"
"50","ENSG00000006744"
"51","ENSG00000006831"
"52","ENSG00000006837"
"53","ENSG00000007038"
"54","ENSG00000007047"
"55","ENSG00000007062"
"56","ENSG00000007080"
"57","ENSG00000007168"
"58","ENSG00000007171"
"59","ENSG00000007174"
"60","ENSG00000007216"
"61","ENSG00000007264"
"62","ENSG00000007312"
"63","ENSG00000007341"
"64","ENSG00000007372"
"65","ENSG00000007516"
"66","ENSG00000007541"
"67","ENSG00000007545"
"68","ENSG00000007908"
"69","ENSG00000007923"
"70","ENSG00000007944"
"71","ENSG00000008086"
"72","ENSG00000008130"
"73","ENSG00000008196"
"74","ENSG00000008277"
"75","ENSG00000008294"
"76","ENSG00000008323"
"77","ENSG00000008394"
"78","ENSG00000008405"
"79","ENSG00000008441"
"80","ENSG00000008516"
"81","ENSG00000008838"
"82","ENSG00000008869"
"83","ENSG00000008988"
"84","ENSG00000009780"
"85","ENSG00000009790"
"86","ENSG00000010244"
"87","ENSG00000010270"
"88","ENSG00000010361"
"89","ENSG00000010404"
"90","ENSG00000010704"
"91","ENSG00000010803"
"92","ENSG00000010818"
"93","ENSG00000011028"
"94","ENSG00000011105"
"95","ENSG00000011114"
"96","ENSG00000011143"
"97","ENSG00000011198"
"98","ENSG00000011258"
"99","ENSG00000011275"
"100","ENSG00000011295"
"101","ENSG00000011304"
"102","ENSG00000011405"
"103","ENSG00000011451"
"104","ENSG00000011454"
"105","ENSG00000011478"
"106","ENSG00000011485"
"107","ENSG00000011566"
"108","ENSG00000012061"
"109","ENSG00000012124"
"110","ENSG00000012171"
"111","ENSG00000012211"
"112","ENSG00000012223"
"113","ENSG00000012232"
"114","ENSG00000012660"
"115","ENSG00000013016"
"116","ENSG00000013288"
"117","ENSG00000013364"
"118","ENSG00000013375"
"119","ENSG00000013392"
"120","ENSG00000013523"
"121","ENSG00000013563"
"122","ENSG00000013573"
"123","ENSG00000013619"
"124","ENSG00000014164"
"125","ENSG00000015153"
"126","ENSG00000015285"
"127","ENSG00000015413"
"128","ENSG00000015520"
"129","ENSG00000015532"
"130","ENSG00000015676"
"131","ENSG00000016391"
"132","ENSG00000016402"
"133","ENSG00000018236"
"134","ENSG00000018280"
"135","ENSG00000018408"
"136","ENSG00000018699"
"137","ENSG00000018869"
"138","ENSG00000019102"
"139","ENSG00000019169"
"140","ENSG00000019549"
"141","ENSG00000019995"
"142","ENSG00000020129"
"143","ENSG00000020633"
"144","ENSG00000020922"
"145","ENSG00000021300"
"146","ENSG00000021645"
"147","ENSG00000021762"
"148","ENSG00000021826"
"149","ENSG00000022556"
"150","ENSG00000022567"
"151","ENSG00000022976"
"152","ENSG00000023041"
"153","ENSG00000023171"
"154","ENSG00000023191"
"155","ENSG00000023445"
"156","ENSG00000023516"
"157","ENSG00000023608"
"158","ENSG00000023892"
"159","ENSG00000023902"
"160","ENSG00000024048"
"161","ENSG00000024862"
"162","ENSG00000025039"
"163","ENSG00000025156"
"164","ENSG00000025708"
"165","ENSG00000025770"
"166","ENSG00000026559"
"167","ENSG00000026652"
"168","ENSG00000026950"
"169","ENSG00000027075"
"170","ENSG00000027697"
"171","ENSG00000027847"
"172","ENSG00000027869"
"173","ENSG00000028277"
"174","ENSG00000028528"
"175","ENSG00000028839"
"176","ENSG00000029363"
"177","ENSG00000029534"
"178","ENSG00000030066"
"179","ENSG00000030419"
"180","ENSG00000031003"
"181","ENSG00000031081"
"182","ENSG00000031698"
"183","ENSG00000031823"
"184","ENSG00000032444"
"185","ENSG00000033030"
"186","ENSG00000033178"
"187","ENSG00000033327"
"188","ENSG00000033627"
"189","ENSG00000033800"
"190","ENSG00000033867"
"191","ENSG00000034053"
"192","ENSG00000034152"
"193","ENSG00000034677"
"194","ENSG00000034693"
"195","ENSG00000034713"
"196","ENSG00000035115"
"197","ENSG00000035403"
"198","ENSG00000035681"
"199","ENSG00000035928"
"200","ENSG00000036549"
"201","ENSG00000037637"
"202","ENSG00000037965"
"203","ENSG00000038219"
"204","ENSG00000038274"
"205","ENSG00000038382"
"206","ENSG00000038532"
"207","ENSG00000039319"
"208","ENSG00000040199"
"209","ENSG00000040487"
"210","ENSG00000040531"
"211","ENSG00000040933"
"212","ENSG00000041988"
"213","ENSG00000042317"
"214","ENSG00000042429"
"215","ENSG00000042445"
"216","ENSG00000042980"
"217","ENSG00000043039"
"218","ENSG00000043143"
"219","ENSG00000043462"
"220","ENSG00000043514"
"221","ENSG00000043591"
"222","ENSG00000044090"
"223","ENSG00000044459"
"224","ENSG00000044524"
"225","ENSG00000046647"
"226","ENSG00000046651"
"227","ENSG00000046653"
"228","ENSG00000047056"
"229","ENSG00000047188"
"230","ENSG00000047346"
"231","ENSG00000047365"
"232","ENSG00000047578"
"233","ENSG00000047849"
"234","ENSG00000047932"
"235","ENSG00000048028"
"236","ENSG00000048342"
"237","ENSG00000048405"
"238","ENSG00000048462"
"239","ENSG00000048471"
"240","ENSG00000048540"
"241","ENSG00000048707"
"242","ENSG00000049089"
"243","ENSG00000049130"
"244","ENSG00000049192"
"245","ENSG00000049239"
"246","ENSG00000049245"
"247","ENSG00000049246"
"248","ENSG00000049449"
"249","ENSG00000049618"
"250","ENSG00000049759"
"251","ENSG00000049769"
"252","ENSG00000049883"
"253","ENSG00000050165"
"254","ENSG00000050327"
"255","ENSG00000050405"
"256","ENSG00000050438"
"257","ENSG00000050628"
"258","ENSG00000050820"
"259","ENSG00000051108"
"260","ENSG00000051523"
"261","ENSG00000051620"
"262","ENSG00000052126"
"263","ENSG00000052795"
"264","ENSG00000052841"
"265","ENSG00000053501"
"266","ENSG00000053918"
"267","ENSG00000054148"
"268","ENSG00000054179"
"269","ENSG00000054219"
"270","ENSG00000054267"
"271","ENSG00000054523"
"272","ENSG00000054598"
"273","ENSG00000054611"
"274","ENSG00000054803"
"275","ENSG00000054967"
"276","ENSG00000054983"
"277","ENSG00000055147"
"278","ENSG00000055211"
"279","ENSG00000055483"
"280","ENSG00000055609"
"281","ENSG00000055950"
"282","ENSG00000056097"
"283","ENSG00000056277"
"284","ENSG00000056487"
"285","ENSG00000056586"
"286","ENSG00000056736"
"287","ENSG00000056972"
"288","ENSG00000057019"
"289","ENSG00000057294"
"290","ENSG00000057657"
"291","ENSG00000057757"
"292","ENSG00000058056"
"293","ENSG00000058063"
"294","ENSG00000058085"
"295","ENSG00000058091"
"296","ENSG00000058272"
"297","ENSG00000058404"
"298","ENSG00000058600"
"299","ENSG00000058668"
"300","ENSG00000058673"
"301","ENSG00000059588"
"302","ENSG00000059728"
"303","ENSG00000059758"
"304","ENSG00000059769"
"305","ENSG00000060069"
"306","ENSG00000060237"
"307","ENSG00000060339"
"308","ENSG00000060491"
"309","ENSG00000060558"
"310","ENSG00000060656"
"311","ENSG00000060762"
"312","ENSG00000060971"
"313","ENSG00000061337"
"314","ENSG00000061656"
"315","ENSG00000061918"
"316","ENSG00000061987"
"317","ENSG00000062038"
"318","ENSG00000062370"
"319","ENSG00000062485"
"320","ENSG00000062582"
"321","ENSG00000062716"
"322","ENSG00000062725"
"323","ENSG00000062822"
"324","ENSG00000063046"
"325","ENSG00000063177"
"326","ENSG00000063244"
"327","ENSG00000063245"
"328","ENSG00000063438"
"329","ENSG00000063587"
"330","ENSG00000063601"
"331","ENSG00000063660"
"332","ENSG00000063761"
"333","ENSG00000064042"
"334","ENSG00000064205"
"335","ENSG00000064225"
"336","ENSG00000064309"
"337","ENSG00000064545"
"338","ENSG00000064607"
"339","ENSG00000064655"
"340","ENSG00000064666"
"341","ENSG00000064692"
"342","ENSG00000064933"
"343","ENSG00000064961"
"344","ENSG00000064989"
"345","ENSG00000065000"
"346","ENSG00000065054"
"347","ENSG00000065150"
"348","ENSG00000065243"
"349","ENSG00000065268"
"350","ENSG00000065308"
"351","ENSG00000065371"
"352","ENSG00000065413"
"353","ENSG00000065491"
"354","ENSG00000065613"
"355","ENSG00000065615"
"356","ENSG00000065621"
"357","ENSG00000065665"
"358","ENSG00000065675"
"359","ENSG00000065833"
"360","ENSG00000065882"
"361","ENSG00000065883"
"362","ENSG00000065970"
"363","ENSG00000065978"
"364","ENSG00000065989"
"365","ENSG00000066117"
"366","ENSG00000066136"
"367","ENSG00000066248"
"368","ENSG00000066322"
"369","ENSG00000066468"
"370","ENSG00000066557"
"371","ENSG00000066629"
"372","ENSG00000066827"
"373","ENSG00000067057"
"374","ENSG00000067066"
"375","ENSG00000067141"
"376","ENSG00000067182"
"377","ENSG00000067208"
"378","ENSG00000067221"
"379","ENSG00000067369"
"380","ENSG00000067601"
"381","ENSG00000067829"
"382","ENSG00000067900"
"383","ENSG00000067955"
"384","ENSG00000068001"
"385","ENSG00000068120"
"386","ENSG00000068305"
"387","ENSG00000068308"
"388","ENSG00000068323"
"389","ENSG00000068354"
"390","ENSG00000068366"
"391","ENSG00000068383"
"392","ENSG00000068400"
"393","ENSG00000068650"
"394","ENSG00000068724"
"395","ENSG00000068885"
"396","ENSG00000068903"
"397","ENSG00000068971"
"398","ENSG00000069188"
"399","ENSG00000069399"
"400","ENSG00000069424"
"401","ENSG00000069482"
"402","ENSG00000069493"
"403","ENSG00000069535"
"404","ENSG00000069712"
"405","ENSG00000069849"
"406","ENSG00000069869"
"407","ENSG00000069943"
"408","ENSG00000069974"
"409","ENSG00000069998"
"410","ENSG00000070010"
"411","ENSG00000070018"
"412","ENSG00000070047"
"413","ENSG00000070061"
"414","ENSG00000070182"
"415","ENSG00000070193"
"416","ENSG00000070269"
"417","ENSG00000070366"
"418","ENSG00000070413"
"419","ENSG00000070444"
"420","ENSG00000070476"
"421","ENSG00000070495"
"422","ENSG00000070526"
"423","ENSG00000070540"
"424","ENSG00000070601"
"425","ENSG00000070614"
"426","ENSG00000070669"
"427","ENSG00000070718"
"428","ENSG00000070759"
"429","ENSG00000070761"
"430","ENSG00000070770"
"431","ENSG00000070785"
"432","ENSG00000070814"
"433","ENSG00000070882"
"434","ENSG00000070961"
"435","ENSG00000071051"
"436","ENSG00000071054"
"437","ENSG00000071082"
"438","ENSG00000071127"
"439","ENSG00000071189"
"440","ENSG00000071243"
"441","ENSG00000071246"
"442","ENSG00000071282"
"443","ENSG00000071564"
"444","ENSG00000071575"
"445","ENSG00000071626"
"446","ENSG00000071655"
"447","ENSG00000071859"
"448","ENSG00000071889"
"449","ENSG00000071894"
"450","ENSG00000071967"
"451","ENSG00000072041"
"452","ENSG00000072071"
"453","ENSG00000072121"
"454","ENSG00000072133"
"455","ENSG00000072134"
"456","ENSG00000072135"
"457","ENSG00000072201"
"458","ENSG00000072210"
"459","ENSG00000072310"
"460","ENSG00000072364"
"461","ENSG00000072422"
"462","ENSG00000072609"
"463","ENSG00000072657"
"464","ENSG00000072694"
"465","ENSG00000072786"
"466","ENSG00000072840"
"467","ENSG00000072954"
"468","ENSG00000072958"
"469","ENSG00000073008"
"470","ENSG00000073060"
"471","ENSG00000073150"
"472","ENSG00000073282"
"473","ENSG00000073331"
"474","ENSG00000073464"
"475","ENSG00000073536"
"476","ENSG00000073578"
"477","ENSG00000073605"
"478","ENSG00000073614"
"479","ENSG00000073737"
"480","ENSG00000073756"
"481","ENSG00000073792"
"482","ENSG00000073861"
"483","ENSG00000073910"
"484","ENSG00000073921"
"485","ENSG00000074054"
"486","ENSG00000074181"
"487","ENSG00000074266"
"488","ENSG00000074527"
"489","ENSG00000074590"
"490","ENSG00000074603"
"491","ENSG00000074621"
"492","ENSG00000074657"
"493","ENSG00000074706"
"494","ENSG00000075073"
"495","ENSG00000075142"
"496","ENSG00000075239"
"497","ENSG00000075240"
"498","ENSG00000075336"
"499","ENSG00000075340"
"500","ENSG00000075391"
"501","ENSG00000075413"
"502","ENSG00000075415"
"503","ENSG00000075420"
"504","ENSG00000075426"
"505","ENSG00000075539"
"506","ENSG00000075568"
"507","ENSG00000075618"
"508","ENSG00000075643"
"509","ENSG00000075856"
"510","ENSG00000075884"
"511","ENSG00000075914"
"512","ENSG00000076043"
"513","ENSG00000076053"
"514","ENSG00000076108"
"515","ENSG00000076201"
"516","ENSG00000076258"
"517","ENSG00000076321"
"518","ENSG00000076344"
"519","ENSG00000076351"
"520","ENSG00000076356"
"521","ENSG00000076513"
"522","ENSG00000076604"
"523","ENSG00000076641"
"524","ENSG00000076650"
"525","ENSG00000076685"
"526","ENSG00000076770"
"527","ENSG00000076826"
"528","ENSG00000076864"
"529","ENSG00000076944"
"530","ENSG00000077044"
"531","ENSG00000077092"
"532","ENSG00000077150"
"533","ENSG00000077254"
"534","ENSG00000077279"
"535","ENSG00000077312"
"536","ENSG00000077420"
"537","ENSG00000077463"
"538","ENSG00000077522"
"539","ENSG00000077943"
"540","ENSG00000077984"
"541","ENSG00000078018"
"542","ENSG00000078043"
"543","ENSG00000078053"
"544","ENSG00000078061"
"545","ENSG00000078070"
"546","ENSG00000078124"
"547","ENSG00000078142"
"548","ENSG00000078177"
"549","ENSG00000078246"
"550","ENSG00000078269"
"551","ENSG00000078295"
"552","ENSG00000078487"
"553","ENSG00000078687"
"554","ENSG00000078699"
"555","ENSG00000078725"
"556","ENSG00000078808"
"557","ENSG00000078900"
"558","ENSG00000078902"
"559","ENSG00000079134"
"560","ENSG00000079150"
"561","ENSG00000079215"
"562","ENSG00000079257"
"563","ENSG00000079385"
"564","ENSG00000079459"
"565","ENSG00000079482"
"566","ENSG00000079689"
"567","ENSG00000079739"
"568","ENSG00000079805"
"569","ENSG00000079950"
"570","ENSG00000080007"
"571","ENSG00000080189"
"572","ENSG00000080298"
"573","ENSG00000080345"
"574","ENSG00000080493"
"575","ENSG00000080503"
"576","ENSG00000080603"
"577","ENSG00000080819"
"578","ENSG00000080822"
"579","ENSG00000080823"
"580","ENSG00000080845"
"581","ENSG00000080854"
"582","ENSG00000081014"
"583","ENSG00000081019"
"584","ENSG00000081051"
"585","ENSG00000081059"
"586","ENSG00000081087"
"587","ENSG00000081154"
"588","ENSG00000081277"
"589","ENSG00000081307"
"590","ENSG00000081320"
"591","ENSG00000081386"
"592","ENSG00000081479"
"593","ENSG00000081665"
"594","ENSG00000081721"
"595","ENSG00000081760"
"596","ENSG00000081853"
"597","ENSG00000081913"
"598","ENSG00000082068"
"599","ENSG00000082146"
"600","ENSG00000082397"
"601","ENSG00000082438"
"602","ENSG00000082482"
"603","ENSG00000082512"
"604","ENSG00000082641"
"605","ENSG00000082684"
"606","ENSG00000082996"
"607","ENSG00000083123"
"608","ENSG00000083168"
"609","ENSG00000083223"
"610","ENSG00000083290"
"611","ENSG00000083454"
"612","ENSG00000083457"
"613","ENSG00000083520"
"614","ENSG00000083535"
"615","ENSG00000083544"
"616","ENSG00000083642"
"617","ENSG00000083720"
"618","ENSG00000083750"
"619","ENSG00000083799"
"620","ENSG00000083807"
"621","ENSG00000083812"
"622","ENSG00000083814"
"623","ENSG00000083828"
"624","ENSG00000083838"
"625","ENSG00000083845"
"626","ENSG00000083857"
"627","ENSG00000083896"
"628","ENSG00000084070"
"629","ENSG00000084072"
"630","ENSG00000084112"
"631","ENSG00000084207"
"632","ENSG00000084453"
"633","ENSG00000084676"
"634","ENSG00000084693"
"635","ENSG00000084754"
"636","ENSG00000084774"
"637","ENSG00000085063"
"638","ENSG00000085117"
"639","ENSG00000085185"
"640","ENSG00000085224"
"641","ENSG00000085231"
"642","ENSG00000085265"
"643","ENSG00000085433"
"644","ENSG00000085449"
"645","ENSG00000085511"
"646","ENSG00000085514"
"647","ENSG00000085733"
"648","ENSG00000085741"
"649","ENSG00000085788"
"650","ENSG00000085832"
"651","ENSG00000085872"
"652","ENSG00000085978"
"653","ENSG00000085982"
"654","ENSG00000085998"
"655","ENSG00000086015"
"656","ENSG00000086102"
"657","ENSG00000086189"
"658","ENSG00000086205"
"659","ENSG00000086289"
"660","ENSG00000086544"
"661","ENSG00000086570"
"662","ENSG00000086589"
"663","ENSG00000086619"
"664","ENSG00000086696"
"665","ENSG00000086712"
"666","ENSG00000086848"
"667","ENSG00000086991"
"668","ENSG00000087053"
"669","ENSG00000087077"
"670","ENSG00000087086"
"671","ENSG00000087087"
"672","ENSG00000087111"
