"","database","category","Odds_Ratio","qval","Combined Score","genes"
"1","GO_Biological_Process_2017","Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261",5.85585585585586,0.000109949179868955,86.6412809994431,"TNNC1;ADCY4;ATP1A2;ATP1B2;CACNA1F;ADRA1A;CACNB1;MYL2;FXYD2;TNNT2;SCN7A;RAPGEF3;MYH7"
"2","GO_Biological_Process_2017","Cardiac muscle contraction Homo sapiens hsa04260",7.69230769230769,0.000367995036677224,99.1882041202582,"CACNB1;TNNC1;MYL2;TNNT2;FXYD2;ATP1A2;ATP1B2;CACNA1F;MYH7"
"3","GO_Biological_Process_2017","Dilated cardiomyopathy Homo sapiens hsa05414",6.66666666666667,0.00081201740094351,77.9836607243185,"CACNB1;TNNC1;MYL2;TNNT2;ITGA10;ADCY4;ITGA7;CACNA1F;MYH7"
"4","GO_Biological_Process_2017","Hypertrophic cardiomyopathy (HCM) Homo sapiens hsa05410",6.42570281124498,0.00254456799367596,65.977012937302,"CACNB1;TNNC1;MYL2;TNNT2;ITGA10;ITGA7;CACNA1F;MYH7"
"5","GO_Biological_Process_2017","Protein digestion and absorption Homo sapiens hsa04974",5.92592592592593,0.00365440389669108,57.3781154857777,"CELA3A;CELA2A;CPA1;CTRL;FXYD2;COL7A1;ATP1A2;ATP1B2"
"6","GO_Biological_Process_2017","Pancreatic secretion Homo sapiens hsa04972",5.55555555555556,0.00482101483829233,51.2399109194837,"CELA3A;CELA2A;CPA1;CTRL;FXYD2;ADCY4;ATP1A2;ATP1B2"
"7","GO_Biological_Process_2017","Tight junction Homo sapiens hsa04530",4.31654676258993,0.0106577865558055,35.7225625119485,"CLDN11;MYH7B;MYH1;MYH2;MYH3;CLDN15;MYL2;MYH11;MYH7"
"8","GO_Biological_Process_2017","Neuroactive ligand-receptor interaction Homo sapiens hsa04080",3.12876052948255,0.0110156372647311,25.3716526293992,"PTGFR;ADCYAP1R1;GIPR;GRIK5;AVPR2;TACR1;SSTR1;ADRA1A;CRHR2;P2RX6;EDNRB;CNR1;LEPR"
"9","GO_Biological_Process_2017","Ras signaling pathway Homo sapiens hsa04014",3.23054331864905,0.0216484340527743,23.6339125047048,"ANGPT4;FGF7;SHC2;KSR1;FLT4;PAK7;GNB3;PAK3;RASGRP2;FGF2;FGF22"
"10","GO_Biological_Process_2017","cAMP signaling pathway Homo sapiens hsa04024",3.3500837520938,0.0257368776061495,23.5759393812986,"ADCYAP1R1;GIPR;FXYD2;PDE4C;ADCY4;ATP1A2;ATP1B2;SSTR1;CACNA1F;RAPGEF3"
"11","GO_Biological_Process_2017","Insulin secretion Homo sapiens hsa04911",4.70588235294118,0.0429012453357523,29.8546841594972,"ADCYAP1R1;FXYD2;ADCY4;ATP1A2;ATP1B2;CACNA1F"
