"target","score","p","padj"
"14-alpha Demethylase Inhibitors",701.159258035071,0,0
"Abortifacient Agents, Nonsteroidal",1405.98275098437,0,0
"Alkylating Agents",98.7210401297649,0,0
"Angiogenesis Inhibitors",152.878647461346,0,0
"Anthelmintics",366.181251436413,0,0
"Anti-Infective Agents, Local",1416.52188022674,0,0
"Antibiotics, Antineoplastic",1097.44254465616,0,0
"Anticestodal Agents",1155.91788217182,0,0
"Anticholesteremic Agents",35.5910077843209,0,0
"Antidepressive Agents, Second-Generation",47.9965367763721,0,0
"Antifungal Agents",1329.46899776432,0,0
"Antimetabolites, Antineoplastic",991.214774088944,0,0
"Antinematodal Agents",1032.10143397341,0,0
"Antineoplastic Agents",502.163510734311,0,0
"Antineoplastic Agents, Phytogenic",1685.10597606378,0,0
"Antiparasitic Agents",2389.36866943811,0,0
"Antiprotozoal Agents",603.777168973449,0,0
"Antithyroid Agents",2187.6429367266,0,0
"Bone Density Conservation Agents",775.432803415766,0,0
"Calcineurin Inhibitors",722.554279427646,0,0
"Calcium Ionophores",2629.58317294414,0,0
"Carcinogens",1871.60796385706,0,0
"Cardiotonic Agents",430.334121076191,0,0
"Cathartics",1526.77708925215,0,0
"Coccidiostats",503.959742869753,0,0
"Coloring Agents",176.574320315948,0,0
"Contraceptive Agents",1408.17934362068,0,0
"Cysteine Proteinase Inhibitors",287.763048999961,0,0
"Cytochrome P-450 CYP2C19 Inhibitors",1924.76065066443,0,0
"Cytochrome P-450 CYP2C9 Inhibitors",1270.73310734848,0,0
"Dermatologic Agents",6.3376788480124,0,0
"Emetics",1808.30040751044,0,0
"Enzyme Inhibitors",80.5946835205201,0,0
"Fatty Acid Synthesis Inhibitors",524.879973442224,0,0
"Fibrinolytic Agents",17.552886008189,0,0
"Folic Acid Antagonists",115.801806087285,0,0
"Free Radical Scavengers",2113.83786377808,0,0
"Glycoside Hydrolase Inhibitors",1658.20768366216,0,0
"Histone Deacetylase Inhibitors",1345.12489675501,0,0
"Hydroxymethylglutaryl-CoA Reductase Inhibitors",1474.96024938061,0,0
"Immunosuppressive Agents",192.426179253254,0,0
"Insecticides",1356.14419369128,0,0
"Intercalating Agents",4049.96085256391,0,0
"Keratolytic Agents",526.625248165798,0,0
"Miotics",281.224078393062,0,0
"Neurotransmitter Uptake Inhibitors",189.707406635664,0,0
"Nucleic Acid Synthesis Inhibitors",635.028297028956,0,0
"Phytoestrogens",145.032424888757,0,0
"Protein Kinase Inhibitors",563.128642352137,0,0
"Protein Synthesis Inhibitors",785.880660291437,0,0
"Proton Ionophores",3274.2769626533,0,0
"Radiation-Protective Agents",796.069156794348,0,0
"Radiation-Sensitizing Agents",1183.33089126487,0,0
"Selective Estrogen Receptor Modulators",768.036606811942,0,0
"Solvents",450.717166548226,0,0
"Topoisomerase I Inhibitors",4134.21557929428,0,0
"Topoisomerase II Inhibitors",376.453873055299,0,0
"Tubulin Modulators",747.673671226013,0,0
"Uncoupling Agents",3253.61987939808,0,0
"Vitamin B Complex",235.232693323091,0,0
"Vitamins",100.085255701628,0,0
"Adjuvants, Anesthesia",-410.355365910245,1,1
"Adjuvants, Immunologic",-1813.47926588134,1,1
"Adrenergic Agents",-743.647368362585,1,1
"Adrenergic alpha-1 Receptor Agonists",-3222.65073859145,1,1
"Adrenergic alpha-1 Receptor Antagonists",-1606.16961390528,1,1
"Adrenergic alpha-2 Receptor Agonists",-1412.31884190898,1,1
"Adrenergic alpha-2 Receptor Antagonists",-869.875076429434,1,1
"Adrenergic alpha-Agonists",-2223.83250016179,1,1
"Adrenergic alpha-Antagonists",-1589.48453979411,1,1
"Adrenergic beta-1 Receptor Agonists",-2988.37645840028,1,1
"Adrenergic beta-1 Receptor Antagonists",-3414.00322863567,1,1
