"","pert_iname","mean","n","median","sd","sRGES"
"1","BRD-K28578807",-1.12812185975874,1,-1.12812185975874,NA,-1.12812185975874
"2","BRD-K07817703",-1.08890287777146,1,-1.08890287777146,NA,-1.08890287777146
"3","BRD-K15634164",-1.08038481160104,1,-1.08038481160104,NA,-1.08038481160104
"4","BRD-K18327813",-1.05985281754231,1,-1.05985281754231,NA,-1.05985281754231
"5","BRD-K82906409",-1.03408034366495,1,-1.03408034366495,NA,-1.03408034366495
"6","BRD-K58189273",-1.01682048989573,1,-1.01682048989573,NA,-1.01682048989573
"7","BRD-K97492549",-1.01186364735754,1,-1.01186364735754,NA,-1.01186364735754
"8","BRD-K62014585",-0.993285599008542,1,-0.993285599008542,NA,-0.993285599008542
"9","BRD-K88756517",-0.988838446586769,1,-0.988838446586769,NA,-0.988838446586769
"10","BRD-K82015643",-0.982745497599459,1,-0.982745497599459,NA,-0.982745497599459
"11","BRD-K01624114",-0.980896602734345,1,-0.980896602734345,NA,-0.980896602734345
"12","BRD-K34327142",-0.980682999350307,1,-0.980682999350307,NA,-0.980682999350307
"13","BRD-K75964914",-0.968234474264165,1,-0.968234474264165,NA,-0.968234474264165
"14","BRD-K78780288",-0.951518940519435,1,-0.951518940519435,NA,-0.951518940519435
"15","BRD-K13765840",-0.944520996941141,1,-0.944520996941141,NA,-0.944520996941141
"16","BRD-K79027750",-0.941064824153512,1,-0.941064824153512,NA,-0.941064824153512
"17","BRD-K11194815",-0.937107909006581,1,-0.937107909006581,NA,-0.937107909006581
"18","BRD-K67374281",-0.935125949738295,1,-0.935125949738295,NA,-0.935125949738295
"19","BRD-K07686903",-0.934796790425187,1,-0.934796790425187,NA,-0.934796790425187
"20","BRD-K85642378",-0.934119018957399,1,-0.934119018957399,NA,-0.934119018957399
"21","BRD-K62366931",-0.932026949822335,1,-0.932026949822335,NA,-0.932026949822335
"22","BRD-K73843002",-0.925525081204725,2,-0.925525081204725,0.11451723588299,-0.925525081204725
"23","BRD-K83132555",-0.923508883651911,1,-0.923508883651911,NA,-0.923508883651911
"24","BRD-K81721884",-0.922586380586825,1,-0.922586380586825,NA,-0.922586380586825
"25","BRD-K35193027",-0.91726380445998,1,-0.91726380445998,NA,-0.91726380445998
"26","BRD-K57487331",-0.914152355092088,1,-0.914152355092088,NA,-0.914152355092088
"27","BRD-K93406741",-0.908239936908085,1,-0.908239936908085,NA,-0.908239936908085
"28","BRD-K53949821",-0.907248957273942,1,-0.907248957273942,NA,-0.907248957273942
