"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","Biomarker.logical.conditions","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"1","TRASTUZUMAB",NA,"ADVANCED GASTRIC CANCER","HER2 ","protein expression",NA,"patients",31892554,"Comparison of HER2 Status Before and After Trastuzumab-based Chemotherapy in Patients With Advanced Gastric Cancer.","HER2 expression can change after trastuzumab-based chemotherapy in patients with advanced HER2-positive gastric cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31892554",NA,NA,"DB00072","3001322","ENSG00000141736","MONDO_0001056","HER2 PROTEIN EXPRESSION NA","pass"
"2","NA",NA,"TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, BRCA","protein expression, protein expression, protein expression, mutation","negative, negative, negative, positive","patients",32052646,"Neoadjuvant therapy for triple-negative breast cancer: potential predictive biomarkers of activity and efficacy of platinum chemotherapy, PARP- and immune-checkpoint-inhibitors.","BRCA mutational status, HRD score and immune component of the tumor ecosystem have been explored as potential predictive biomarkers.","https://www.ncbi.nlm.nih.gov/pubmed/?term=32052646",NA,NA,"NA","56956252","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000012048","EFO_0005537","failed","failed term"
"3","PROPRANOLOL","β-adrenergic receptor","BREAST CANCER","β-adrenergic receptor","missing","positive",NA,32029438,"Propranolol: What is BLOCKing Its Clinical Investigation in Breast Cancer?","Blockade of the β-adrenergic receptor signaling with propranolol, along with potential future combinatorial strategies, holds promise for reducing breast cancer progression and metastasis.","https://www.ncbi.nlm.nih.gov/pubmed/?term=32029438",NA,NA,"DB00571","62882","NA","MONDO_0007254","Β-ADRENERGIC RECEPTOR MISSING POSITIVE","failed biomarker"
"4","NA",NA,"BREAST CANCER","DNA methylation","methylation","positive","patients",32019269,"Computational Detection of Breast Cancer Invasiveness with DNA Methylation Biomarkers.","This study demonstrates DNA methylation as a potential biomarker to predict breast tumor invasiveness and as a possible parameter that could be included in the studies aiming to predict breast cancer aggressiveness.","https://www.ncbi.nlm.nih.gov/pubmed/?term=32019269",NA,NA,"NA","56956252","NA","MONDO_0007254","DNA METHYLATION METHYLATION POSITIVE","failed biomarker"
"5","NA",NA,"TRIPLE NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, BRCA","mutation","negative, negative, negative, positive","patients",32013831,"BRCA Mutational Status is a Promising Predictive Biomarker for Platinum-based Chemotherapy in Triple-Negative Breast Cancer.","With the emergence of genetic testing, several recent studies suggested mutations in breast cancer susceptibility gene (BRCA) in TNBC patients as important predictors of outcomes.","https://www.ncbi.nlm.nih.gov/pubmed/?term=32013831",NA,NA,"NA","56956252","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000012048","EFO_0005537","failed","failed term"
"6","CAPECITABINE",NA,"TRIPLE NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2","protein expression, protein expression, protein expression","negative, negative, negative,","patients",32005747,"Predictive biomarkers for adjuvant capecitabine benefit in early stage triple negative breast cancer in the FinXX clinical trial.","Genes and metagenes related to anti-tumor immunity, immune response and capecitabine activation could identify TNBC patients who are more likely to benefit from adjuvant capecitabine. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=32005747",NA,NA,"DB01101","60953","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","failed","failed term"
"7","TAMOXIFEN",NA,"BREAST CANCER","SPP1,
OPN","gene expression, protein expression","positive, positive","patients",31996744,"Evaluation of SPP1/osteopontin expression as predictor of recurrence in tamoxifen treated breast cancer.","OPN protein expression was not associated with risk of recurrence or with SPP1-gene expression, suggesting SPP1 mRNA a stronger prognostic marker candidate compared to tumor tissue OPN protein.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31996744",NA,NA,"DB00675","2733526","ENSG00000118785, ENSG00000118785","MONDO_0007254","failed","failed term"
"8","TRASTUZUMAB",NA,"BREAST CANCER CELL LINE MODEL","BRAF,KRAS,
PIK3CA","mutation,mutation,mutation","positive, positive, positive","cell line",31983154,"BRAF, KRAS and PIK3CA Mutation and Sensitivity to Trastuzumab in Breast Cancer Cell Line Model.","BRAF, KRAS and PIK3CA Mutation and Sensitivity to Trastuzumab in Breast Cancer Cell Line Model.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31983154",NA,NA,"DB00072","3001322","ENSG00000157764, ENSG00000133703, ENSG00000121879","MONDO_0007254","failed","failed term"
"9","ANTHRACYCLINES, TRASTUZUMAB",NA,"BREAST CANCER","hs-cTnT
NT-proBNP,
myeloperoxidase
placental growth factor, growth differentiation factor 15","protein expression,   protein expression, protein expression, protein expression, protein expression, protein expression","positive, positive, positive, positive, positive, positive","patients",31959034,"Changes in Cardiovascular Biomarkers With Breast Cancer Therapy and Associations With Cardiac Dysfunction.","Conclusions Cardiovascular biomarkers may play an important role in CTRCD risk prediction in patients with breast cancer who receive cardiotoxic cancer therapy, particularly in those treated with sequential anthracycline and trastuzumab therapy. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31959034",NA,NA,"NA,DB00072","NA, 3001322","NA, NA, ENSG00000130513","MONDO_0007254","failed","failed drug,failed biomarker,failed term"
"10","DOXORUBICIN",NA,"BREAST CANCER","Twist 1","gene expression","positive","patients",31942413,"Gene Expression as a Biomarker for Predicting Primary Doxorubicin Resistance in Breast Cancer.","gene expression as a biomarker for predicting the response of breast tumors to chemo-therapeutic agent doxorubicin.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31942413",NA,NA,"DB00997","443939","NA","MONDO_0007254","TWIST 1 GENE EXPRESSION POSITIVE","failed biomarker"
