"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Biomarker.logical.conditions","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"1","CDK4/6 INHIBITORS","CDK4/6","ER+ BREAST CANCER","ESR1, CyclinE1, CyclinE2","protein expression, protein expression, protein expression","positive, positive, positive","AND, AND/OR","patients","32061162","Cyclins E1 and E2 in ER+ breast cancer: prospects as biomarkers and therapeutic targets.","Cyclin E1 is one the most promising biomarkers in estrogen receptor positive (ER+) breast cancer for response to the new standard of care drug class, CDK4/6 inhibitors.","https://www.ncbi.nlm.nih.gov/pubmed/?term=32061162","This is a review. drug names are not mentioned in the abstract.","NA","NA","ENSG00000091831, NA, NA","EFO_1000650","ESR1 PROTEIN EXPRESSION POSITIVE AND CYCLINE1 PROTEIN EXPRESSION POSITIVE AND/OR CYCLINE2 PROTEIN EXPRESSION POSITIVE","failed drug"
"2","NA",NA,"B-LIKE HER2-NEGATIVE INVASIVE BREAST CANCER","H3K27me3","protein expression","positive",NA,"patients","32050892
","Digital imaging-assisted quantification of H3K27me3 immunoexpression in luminal A/B-like, HER2-negative, invasive breast cancer predicts patient survival and risk of recurrence.","H3K27me3 immunoexpression assessed by digital imaging scoring software is an independent prognosis biomarker in luminal-like BC patients","https://www.ncbi.nlm.nih.gov/pubmed/?term=32050892","No drug was mentioned in the abstract.","NA","56956252","NA","EFO_0005537","H3K27ME3 PROTEIN EXPRESSION POSITIVE","failed biomarker"
"3","NA",NA,"BREAST CANCER","miR-21, miR-23a, miR-34a,miR-1, miR-10b, miR-16","mRNA","positive，positive，positive，positive，positive，positive","OR, OR, OR,OR,         OR,OR","patients","32044304","Cell-free miRNAs as non-invasive biomarkers in breast cancer: Significance in early diagnosis and metastasis prediction.","Numerous studies have found a distinct expression profile of circulating miRNAs in breast tumour versus non-tumour and in early and advanced-stage","https://www.ncbi.nlm.nih.gov/pubmed/?term=32044304","This is a review. no drug was mentioned in the abstract.","NA","56956252","ENSG00000284190, NA, NA, ENSG00000272920, NA, NA","MONDO_0007254","failed","failed term"
"4","NA",NA,"TRIPLE-NEGATIVE BREAST CANCER (TNBC)","ESR, PGR, ERBB2, GD3s","Protein expression, Protein expression,Protein expression, Protein and mRNA expression, gene methylation","negative,negative,negative, positive","AND,         AND,          AND","cell line, patients","32042739","Epigenetic hypomethylation and upregulation of GD3s in triple negative breast cancer.","Overexpression of GD3s in human breast cancer cells increased their proliferation, migration, invasion and colony formation ability. GD3s expression in breast cancers was closely associated with relapse-free survival (RFS) and overall survival (OS).","https://www.ncbi.nlm.nih.gov/pubmed/?term=32042739","This is a review. no drug was mentioned in the abstract.","NA","56956252","ENSG00000091831, ENSG00000082175, ENSG00000141736, NA","MONDO_0007254","failed","failed term"
"5","NA",NA,"LUMINAL B AND HER2 BREAST CANCER","Annexin 2","protein expression","positive",NA,"patients","32072035","Annexin 2 protein expression is associated with breast cancer subtypes in African American women.","ANX2 might be a biomarker of aggressiveness and a relevant candidate biomarker in high risk African American women with Luminal B and HER2 breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/32072035","No drug was mentioned in the abstract.","NA","56956252","ENSG00000182718","MONDO_0007254","ANNEXIN 2 PROTEIN EXPRESSION POSITIVE","pass"
"6","NA",NA,"BREAST CANCER","SLX4IP","protein expression","SLX4IP positive",NA,"mouse","32071280","SLX4IP and telomere dynamics dictate breast cancer metastasis and therapeutic responsiveness.","This study illuminates SLX4IP as a potential predictive biomarker for breast cancer progression and metastatic relapse. ","https://www.ncbi.nlm.nih.gov/pubmed/32071280","No drug was mentioned in the abstract.","NA","56956252","ENSG00000149346","MONDO_0007254","SLX4IP PROTEIN EXPRESSION SLX4IP POSITIVE","pass"
"7","NA",NA,"BREAST CANCER","FUT3","protein expression","high FUT3 levels",NA,"patients","32062822","High FUT3 expression is a marker of lower overall survival of breast cancer patients.","Our analysis showed that high FUT3 levels were consistently associated to reduced invasive breast cancer patients overall survival. ","https://www.ncbi.nlm.nih.gov/pubmed/32062822","No drug was mentioned in the abstract.","NA","56956252","ENSG00000171124","MONDO_0007254","FUT3 PROTEIN EXPRESSION HIGH FUT3 LEVELS","pass"
"8","NA",NA,"TNBC","FRα","protein expression","FRα positive",NA,"patients","32047850","Folate receptor alpha expression associates with improved disease-free survival in triple negative breast cancer patients.","The results demonstrate the potential of targeting the FRα in the majority of TNBC patients and suggest that variable expression may point to a need to stratify on FRα expression in clinical studies.","https://www.ncbi.nlm.nih.gov/pubmed/32047850","No drug was mentioned in the abstract.","NA","56956252","NA","NA","FRΑ PROTEIN EXPRESSION FRΑ POSITIVE","failed biomarker,failed disease"
"9","NA",NA,"BREAST CANCER","DEGS","gene expression","positive",NA,"patients","32044879","Differentially Expressed Genes in Matched Normal, Cancer, and Lymph Node Metastases Predict Clinical Outcomes in Patients With Breast Cancer.","The DEGs identified in this study represent novel biomarkers for predicting the prognosis of patients with BC.","https://www.ncbi.nlm.nih.gov/pubmed/32044879","No drug was mentioned in the abstract.","NA","56956252","ENSG00000143753","MONDO_0007254","DEGS GENE EXPRESSION POSITIVE","pass"
"10","NA",NA,"BREAST CANCER","TILs,CD4,CD8,CD20,CD68","gene expression, gene expression, gene expression, gene expression, gene expression","positive, negative, negative, negative, negative","AND, AND, AND, AND","patients","32044815","Prognostic value of tumor-infiltrating lymphocyte subtypes in residual tumors of patients with triple-negative breast cancer after neoadjuvant chemotherapy.","Subtypes of TILs in RT is a potential predictive biomarker of survival in TNBC patients after NAC.","https://www.ncbi.nlm.nih.gov/pubmed/32044815","No drug was mentioned in the abstract.","NA","56956252","NA, ENSG00000010610, ENSG00000153563, ENSG00000156738, ENSG00000129226","MONDO_0007254","TILS GENE EXPRESSION POSITIVE AND CD4 GENE EXPRESSION NEGATIVE AND CD8 GENE EXPRESSION NEGATIVE AND CD20 GENE EXPRESSION NEGATIVE AND CD68 GENE EXPRESSION NEGATIVE","failed biomarker"
