"","identifier","log2FoldChange","logCPM","LR","pvalue","padj","gene","chrom","strand","Symbol"
"1","ENSG00000282558",9.67913428551337,0.62405230497534,107.870543353004,2.86920110744573e-25,4.38385237206633e-21,"PAPD7","chr5","+","PAPD7"
"2","ENSG00000196611",8.25552350542578,5.07774027038623,194.295958458478,3.67003076844519e-44,6.45007907554243e-40,"MMP1","chr11","-","MMP1"
"3","ENSG00000131747",5.85704171283462,7.30615817891418,390.422408388404,6.69759017955521e-87,1.28091412183993e-82,"TOP2A","chr17","-","TOP2A"
"4","ENSG00000175063",5.62850686952083,5.17628841320241,388.480846990515,1.77255754534561e-86,3.3880664921736e-82,"UBE2C","chr20","+","UBE2C"
"5","ENSG00000101057",5.44553426028438,5.74845267558903,307.211634867569,8.84422922240946e-69,1.65670101794174e-64,"MYBL2","chr20","+","MYBL2"
"6","ENSG00000112984",5.42653068741963,4.81492167681564,492.836843693733,3.43993980365629e-109,6.66385138764297e-105,"KIF20A","chr5","+","KIF20A"
"7","ENSG00000089685",5.38043200485056,5.38985942118127,395.667690886405,4.83099495081533e-88,9.24942293283103e-84,"BIRC5","chr17","+","BIRC5"
"8","ENSG00000165304",5.24684793406847,4.27369446379059,433.965083999495,2.22790644132715e-96,4.28671478375757e-92,"MELK","chr9","+","MELK"
"9","ENSG00000118193",4.96654735126616,3.5721814739982,352.249012354322,1.37211249757342e-78,2.60303461914653e-74,"KIF14","chr1","-","KIF14"
"10","ENSG00000087586",4.37184486583631,4.63838835409499,372.592098797255,5.10292403285134e-83,9.72413203700151e-79,"AURKA","chr20","-","AURKA"
"11","ENSG00000138778",4.28982527317982,4.29151934466805,373.319170448821,3.54418525669033e-83,6.75592593630311e-79,"CENPE","chr4","-","CENPE"
"12","ENSG00000170312",4.23513742917823,5.4357077582817,382.015346868399,4.53097407508862e-85,8.64962950934418e-81,"CDK1","chr10","+","CDK1"
"13","ENSG00000137804",4.22836082029373,5.41381702023525,422.98186468471,5.47537101833527e-94,1.05203778746294e-89,"NUSAP1","chr15","+","NUSAP1"
"14","ENSG00000142945",4.21919836210957,4.70076114179947,373.7416645424,2.86766670531194e-83,5.46720657367721e-79,"KIF2C","chr1","+","KIF2C"
"15","ENSG00000093009",4.0505412758222,3.24296550746609,313.550926583512,3.67869007893652e-70,6.9074763612191e-66,"CDC45","chr22","+","CDC45"
