"identifier","log2FoldChange","logCPM","LR","pvalue","padj","gene","chrom","strand","Symbol"
"ENSG00000000005",-3.00180831735264,0.159003874227524,137.55030322665,9.13983856772287e-32,1.49290123165185e-27,"TNMD","chrX","+","TNMD"
"ENSG00000002726",4.39759702103845,1.76793389486114,73.8818752593991,8.29343185881353e-18,1.11787168024948e-13,"AOC1","chr7","+","AOC1"
"ENSG00000003137",-2.0419305128871,2.60369297189621,187.991345617835,8.72547083330241e-43,1.5232054433696e-38,"CYP26B1","chr2","-","CYP26B1"
"ENSG00000003249",2.57911434597807,5.35159195909278,191.56491811157,1.44793946422939e-43,2.53881705657982e-39,"DBNDD1","chr16","-","DBNDD1"
"ENSG00000004478",2.08961130789861,8.58768364676266,244.811204170454,3.51310103773824e-55,6.40895022314588e-51,"FKBP4","chr12","+","FKBP4"
"ENSG00000004776",-3.81758122234952,4.52573800835662,593.783846466933,3.76594126815165e-131,7.35300032606609e-127,"HSPB6","chr19","-","HSPB6"
"ENSG00000004799",-3.64227561974546,6.11829873941401,565.221384053579,6.1489604938481e-125,1.19837091064606e-120,"PDK4","chr7","-","PDK4"
"ENSG00000004838",2.45138495286107,3.70674530208013,116.764541999962,3.23253691170155e-27,5.05859701312176e-23,"ZMYND10","chr3","-","ZMYND10"
"ENSG00000004846",-4.36988578880131,-0.351282357592113,511.885683863946,2.46572886562616e-113,4.7825277077685e-109,"ABCB5","chr7","+","ABCB5"
"ENSG00000005102",-2.1591654909799,2.51993305748777,125.824336144673,3.35942336854696e-29,5.36231158087466e-25,"MEOX1","chr17","-","MEOX1"
"ENSG00000005513",-2.0309134276675,2.70207195062243,108.289740975711,2.32223447399086e-25,3.55162540452163e-21,"SOX8","chr16","+","SOX8"
"ENSG00000006118",2.15189507056548,6.45688504453455,129.744717937233,4.66017860944924e-30,7.50381959693516e-26,"TMEM132A","chr11","+","TMEM132A"
"ENSG00000006128",-2.19191082396614,-0.617944168495187,58.4546362082683,2.08032787079072e-14,2.55838721549842e-10,"TAC1","chr7","+","TAC1"
"ENSG00000006210",-2.93957455742847,6.38445650376466,576.123517200712,2.61396322849704e-127,5.09827388086062e-123,"CX3CL1","chr16","+","CX3CL1"
"ENSG00000006283",-3.06557482676069,0.750881324620382,313.050522333835,4.72823715745322e-70,8.87726526311843e-66,"CACNA1G","chr17","+","CACNA1G"
"ENSG00000006747",2.51642782926094,3.88446917048249,60.6473983841129,6.82702374148363e-15,8.52012562937157e-11,"SCIN","chr7","+","SCIN"
"ENSG00000007306",3.25336077728641,0.111377129556198,49.0261844015336,2.52568271827533e-12,2.88331939118312e-08,"CEACAM7","chr19","-","CEACAM7"
"ENSG00000007314",-4.46488173764254,1.75670988535205,1141.55351126876,3.0733848185542e-250,6.08776064859217e-246,"SCN4A","chr17","-","SCN4A"
"ENSG00000007968",3.65012334519397,3.26126312691716,280.757744758362,5.13418142606459e-63,9.53982250777062e-59,"E2F2","chr1","-","E2F2"
"ENSG00000008226",-2.28961305849329,0.314516544748319,231.354739807689,3.01925723367115e-52,5.46696907300836e-48,"DLEC1","chr3","+","DLEC1"
"ENSG00000008311",-3.34774110378558,2.72084011257012,1178.28567369596,3.19494851454347e-258,6.33047098671643e-254,"AASS","chr7","-","AASS"
"ENSG00000008735",2.12275944193395,4.86169580065554,69.1639384697776,9.06097324582568e-17,1.1901588358392e-12,"MAPK8IP2","chr22","+","MAPK8IP2"
"ENSG00000009694",-2.58650175083834,0.694871762029068,146.013999806381,1.28908205873075e-33,2.1367824205521e-29,"TENM1","chrX","-","TENM1"
"ENSG00000009709",10.2273108400523,1.51859999970677,68.5266154028042,1.25176686495559e-16,1.63781176610789e-12,"PAX7","chr1","+","PAX7"
"ENSG00000009724",-2.7465770354732,0.04896599282455,503.462148158359,1.67757474386651e-111,3.25181088351084e-107,"MASP2","chr1","-","MASP2"
"ENSG00000009765",2.99926266022823,1.63378798942877,37.4020767312384,9.61197236900379e-10,9.75807434901264e-06,"IYD","chr6","+","IYD"
"ENSG00000009950",-5.07794406140485,2.55232860812978,1239.09770510148,1.94262764477471e-271,3.85164783129481e-267,"MLXIPL","chr7","-","MLXIPL"
"ENSG00000010030",2.41439138729457,2.59918209244792,124.190230916344,7.65422258661201e-29,1.21847569356277e-24,"ETV7","chr6","-","ETV7"
"ENSG00000010295",-2.07291497045111,3.24411912113925,488.904610023272,2.46693119216951e-108,4.77696556051703e-104,"IFFO1","chr12","-","IFFO1"
