"identifier","log2FoldChange","logCPM","LR","pvalue","padj","gene","chrom","strand","Symbol"
"ENSG00000000005",-4.05728503385761,2.38865681816913,36.5501311238939,1.4878995706497e-09,2.07666143075579e-05,"TNMD","chrX","+","TNMD"
"ENSG00000001630",2.05529562219424,6.20826996280996,30.5424107597572,3.26647151627379e-08,0.000430357622269072,"CYP51A1","chr7","-","CYP51A1"
"ENSG00000002746",-2.00245813575208,-0.198916728945575,31.364361813381,2.13870785252388e-08,0.000283827919108444,"HECW1","chr7","+","HECW1"
"ENSG00000003096",-2.44286010104784,4.18560747998383,30.9114829830352,2.70069088383424e-08,0.000356977321025209,"KLHL13","chrX","-","KLHL13"
"ENSG00000003249",2.92747185883062,4.2264031927858,138.540574581271,5.55095757863789e-32,9.80188089235879e-28,"DBNDD1","chr16","-","DBNDD1"
"ENSG00000004478",2.09856287333298,7.37850217871955,102.70753396237,3.88464310774705e-24,6.71732486191621e-20,"FKBP4","chr12","+","FKBP4"
"ENSG00000004776",-3.57166029638441,7.33431752698971,59.6888023760138,1.11106912971315e-14,1.76737766463471e-10,"HSPB6","chr19","-","HSPB6"
"ENSG00000004777",-2.38227625269577,5.13399672329296,70.5468896076339,4.49455658173025e-17,7.39039938733905e-13,"ARHGAP33","chr19","+","ARHGAP33"
"ENSG00000004799",-3.54850301833342,8.76613097190101,42.0517832744552,8.88880937731857e-11,1.29376620486872e-06,"PDK4","chr7","-","PDK4"
"ENSG00000004846",-5.42910919590764,2.6774835146924,47.9557682281097,4.35943674249088e-12,6.57708221339599e-08,"ABCB5","chr7","+","ABCB5"
"ENSG00000005379",-2.99049405091762,5.7093530604515,79.7461889871227,4.25730961802464e-19,7.14035969135092e-15,"BZRAP1","chr17","-","BZRAP1"
"ENSG00000006118",2.40264080458116,5.51033719477138,50.810985372489,1.01702894375084e-12,1.55707131288254e-08,"TMEM132A","chr11","+","TMEM132A"
"ENSG00000006128",-4.5501879724232,0.905444223668554,51.8037715746146,6.13338796308727e-13,9.44296410796916e-09,"TAC1","chr7","+","TAC1"
"ENSG00000006210",-2.75553895619672,8.62248784369908,41.9342669712078,9.43938327355792e-11,1.37267511564079e-06,"CX3CL1","chr16","+","CX3CL1"
"ENSG00000006283",-3.59232689621678,3.05251939641521,42.6504353834473,6.54498592056708e-11,9.56615142150085e-07,"CACNA1G","chr17","+","CACNA1G"
"ENSG00000006625",2.33754348994614,5.9345804532778,58.0376586770876,2.57147643130004e-14,4.06344705674032e-10,"GGCT","chr7","-","GGCT"
"ENSG00000007314",-4.07210570208203,4.92620248302384,47.0102299513845,7.06171482095914e-12,1.05899323417026e-07,"SCN4A","chr17","-","SCN4A"
"ENSG00000007933",2.74610163521179,4.05173727411673,42.3450387583201,7.65101728857967e-11,1.11567134102069e-06,"FMO3","chr1","+","FMO3"
"ENSG00000007968",4.61204541621245,2.06890861664912,88.5285696612471,5.01059582509494e-21,8.52452667723402e-17,"E2F2","chr1","-","E2F2"
"ENSG00000008226",-2.8321211983271,2.05429171747714,65.4284942185833,6.02612647235561e-16,9.76172227256885e-12,"DLEC1","chr3","+","DLEC1"
"ENSG00000008311",-2.99090305663915,5.20677311653414,64.740926721815,8.54220552869726e-16,1.38067667960334e-11,"AASS","chr7","-","AASS"
"ENSG00000008517",2.2329189394652,5.48439690959236,33.6230030605081,6.68969172917589e-09,9.0859393065667e-05,"IL32","chr16","+","IL32"
"ENSG00000008735",2.13678182238682,3.78736135032832,33.6378258295115,6.6389082274744e-09,9.01829293620122e-05,"MAPK8IP2","chr22","+","MAPK8IP2"
"ENSG00000009694",-3.97417906496029,2.67348057327997,83.0557137336451,7.9773020862611e-20,1.34577086195225e-15,"TENM1","chrX","-","TENM1"
"ENSG00000009724",-2.41820746833818,2.08602679597829,53.8611985845421,2.15165211657772e-13,3.34474321522007e-09,"MASP2","chr1","-","MASP2"
"ENSG00000010310",-2.89246697044724,3.26167539570287,62.5052797561413,2.6573129481632e-15,4.26525301309675e-11,"GIPR","chr19","+","GIPR"
"ENSG00000011422",2.43606328717044,4.17188486703921,77.9755987257414,1.04321340238284e-18,1.74341823806219e-14,"PLAUR","chr19","-","PLAUR"
"ENSG00000011426",4.81735684530573,3.43371742185054,178.402990761482,1.08173438589734e-40,1.92635259440599e-36,"ANLN","chr7","+","ANLN"
"ENSG00000012822",-2.21558512107811,7.89955501037855,124.965295787392,5.17926058825431e-29,9.09374574085691e-25,"CALCOCO1","chr12","-","CALCOCO1"
"ENSG00000013297",-3.22101793354074,5.13760864669371,51.9645294224479,5.65123337270821e-13,8.70798550400609e-09,"CLDN11","chr3","+","CLDN11"
"ENSG00000013441",-2.26893422619419,7.81985090493761,130.743945599593,2.81696683459897e-30,4.96180538246263e-26,"CLK1","chr2","-","CLK1"
"ENSG00000013588",3.24603995113303,7.16008057081397,48.5837274668371,3.16484367428923e-12,4.79157332287389e-08,"GPRC5A","chr12","+","GPRC5A"
"ENSG00000013810",3.05188302478193,4.26667664541208,136.050524351159,1.94517392019165e-31,3.43128679521807e-27,"TACC3","chr4","+","TACC3"
